frame,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,shot
1,519.3836724758148,777.4392127990723,-535.3535234928131,0.9999953508377075,526.5419840812683,767.7682685852051,-514.149341583252,0.9999887943267822,531.6211438179016,767.6950263977051,-514.1212105751038,0.9999877214431763,536.8921995162964,767.8290939331055,-514.1534292697906,0.9999865293502808,511.23218178749084,768.62548828125,-512.5068318843842,0.9999899864196777,504.8086881637573,769.365348815918,-512.6048719882965,0.9999892711639404,499.1831946372986,770.4041862487793,-512.6137554645538,0.9999891519546509,546.7251133918762,776.3895034790039,-358.8113307952881,0.9999772310256958,492.8435790538788,780.7042694091797,-349.1561508178711,0.9999816417694092,528.8787889480591,793.0896949768066,-474.16858077049255,0.999985933303833,510.0331699848175,793.8843727111816,-471.68471574783325,0.9999847412109375,585.9780406951904,855.9899711608887,-239.4436740875244,0.999884843826294,460.81945180892944,858.1335639953613,-208.93052637577057,0.999887228012085,587.4204468727112,956.0989952087402,-231.5710473060608,0.9822955131530762,455.1335120201111,959.5852088928223,-145.9550964832306,0.9600936770439148,528.3284318447113,1010.3376388549805,-402.3301291465759,0.955139696598053,488.0896317958832,1023.4444427490234,-270.9042477607727,0.8766559958457947,519.1932892799377,1037.5885391235352,-453.2763183116913,0.9138894081115723,495.5201768875122,1050.3388595581055,-314.44132804870605,0.7870515584945679,510.4159963130951,1028.1829833984375,-484.4675552845001,0.9159615635871887,505.9774124622345,1039.3439483642578,-346.5247428417206,0.7889818549156189,511.99992656707764,1018.4469223022461,-416.48720383644104,0.8821036219596863,504.015097618103,1027.5722122192383,-284.5661973953247,0.7521945834159851,562.4551749229431,1024.9761199951172,-14.236313849687576,0.999789297580719,486.4736759662628,1026.972541809082,14.046069458127022,0.9998519420623779,591.4600467681885,1175.70556640625,-96.71132415533066,0.9937300682067871,460.83065271377563,1178.0178451538086,-42.56875321269035,0.995688259601593,603.4369039535522,1320.8171081542969,5.548151358962059,0.9954485297203064,448.4128403663635,1322.0918655395508,68.30885499715805,0.9964297413825989,594.3092608451843,1345.0848770141602,2.4742352217435837,0.8740842938423157,458.2865345478058,1346.5277481079102,67.1144337952137,0.9239844083786011,628.3284044265747,1368.3452224731445,-196.20328903198242,0.9896149635314941,422.11952090263367,1371.9758605957031,-110.26661574840546,0.9913802742958069,neutral
2,518.4008252620697,777.8088569641113,-527.0179581642151,0.9999955892562866,525.8735990524292,767.7917289733887,-504.70218300819397,0.99998939037323,531.1784827709198,767.7640342712402,-504.66413855552673,0.9999884366989136,536.1950075626373,768.0266761779785,-504.6909499168396,0.9999873638153076,510.54438829421997,768.6954689025879,-505.2998220920563,0.9999904036521912,504.51395630836487,769.4728660583496,-505.3811573982239,0.9999897480010986,499.0808415412903,770.5010604858398,-505.3442716598511,0.9999895691871643,545.2866339683533,776.5201377868652,-344.3333888053894,0.9999786019325256,492.90277004241943,780.6990623474121,-345.9926998615265,0.9999823570251465,528.7587332725525,793.1773567199707,-464.4653785228729,0.9999867677688599,508.8603901863098,793.956241607666,-465.21899342536926,0.9999855160713196,585.8088684082031,856.9363975524902,-220.04776239395142,0.9998926520347595,460.65945267677307,859.4121551513672,-208.17052245140076,0.9998887777328491,587.2940826416016,956.1192512512207,-177.2221326828003,0.9824202060699463,455.00627875328064,959.7371292114258,-164.49484705924988,0.9602710008621216,528.4108936786652,1012.4897003173828,-319.7984826564789,0.956341564655304,488.267365694046,1023.5546493530273,-326.78929567337036,0.8767677545547485,519.4511675834656,1041.0186767578125,-367.3836922645569,0.9155954718589783,495.4251301288605,1050.0193405151367,-379.6372890472412,0.7881370782852173,510.488383769989,1032.1263885498047,-407.3558270931244,0.9176429510116577,505.6443464756012,1038.9025497436523,-408.92791271209717,0.7899997234344482,512.1148002147675,1022.4047470092773,-336.97059631347656,0.8843635320663452,503.93537163734436,1027.3247909545898,-341.27689361572266,0.753471851348877,562.3962736129761,1025.3042221069336,-11.75173670053482,0.9997956156730652,486.9028830528259,1027.6350402832031,11.607150882482529,0.9998552203178406,591.5421867370605,1177.112159729004,-75.26043266057968,0.9940386414527893,460.7151997089386,1178.7385940551758,-32.023547887802124,0.9958575963973999,602.8887677192688,1320.066261291504,44.34316724538803,0.9956533908843994,448.32493901252747,1322.1376419067383,93.03063601255417,0.9965673685073853,594.0384435653687,1344.821548461914,42.86626920104027,0.8789315223693848,457.9244041442871,1346.5267181396484,92.5299346446991,0.9253950715065002,627.7559351921082,1368.1819152832031,-160.96643328666687,0.9900771975517273,422.94819474220276,1371.6545104980469,-90.5458214879036,0.9916794896125793,neutral
3,515.8020544052124,781.6561317443848,-564.142005443573,0.999995768070221,523.8077402114868,771.8747520446777,-542.0272994041443,0.9999898672103882,529.2728161811829,772.1255493164062,-541.9680762290955,0.9999889731407166,534.6031594276428,772.5350761413574,-541.9864225387573,0.9999880194664001,508.3181118965149,772.291088104248,-541.3563394546509,0.9999907612800598,502.6833164691925,773.0340957641602,-541.4499378204346,0.9999901652336121,498.1528401374817,773.8799285888672,-541.4355182647705,0.999989926815033,543.1592345237732,780.7464408874512,-380.89465498924255,0.9999796748161316,492.62670636177063,784.1581535339355,-377.5219917297363,0.9999828934669495,526.8288624286652,796.5997123718262,-501.4915466308594,0.9999875426292419,506.04564785957336,797.406063079834,-500.8056843280792,0.9999862313270569,584.5564270019531,861.2099647521973,-254.2610228061676,0.9998992681503296,459.4199824333191,862.9381942749023,-233.05724322795868,0.9998915791511536,586.3586139678955,957.9232406616211,-209.85944509506226,0.9829709529876709,454.12208318710327,961.2564468383789,-189.86058354377747,0.9601907134056091,529.1253054141998,1017.2175979614258,-327.68205285072327,0.957851767539978,487.316769361496,1026.792984008789,-344.1350555419922,0.8767741918563843,520.6478941440582,1045.6506729125977,-372.02839851379395,0.9177644848823547,493.6601185798645,1052.4225997924805,-394.9704909324646,0.7884055972099304,510.929274559021,1037.6776885986328,-437.6714622974396,0.9197405576705933,504.17409896850586,1042.6782989501953,-426.21023297309875,0.7901608347892761,512.5371837615967,1027.8929901123047,-354.80221152305603,0.8870444297790527,503.24957370758057,1031.011848449707,-359.0054476261139,0.7538677453994751,562.3172235488892,1028.096809387207,-11.710549034178257,0.999801516532898,486.90529704093933,1030.3961563110352,11.553116776049137,0.9998591542243958,591.7997431755066,1179.9860000610352,-69.29654628038406,0.994320273399353,460.12943744659424,1180.378532409668,-23.78866396844387,0.9960038661956787,602.0160627365112,1320.0664901733398,60.89060515165329,0.9958541989326477,448.1881785392761,1322.1375274658203,115.55799722671509,0.9966972470283508,593.452455997467,1344.9113845825195,60.333702117204666,0.8835769295692444,457.90380477905273,1346.4836883544922,116.5829685330391,0.9272875785827637,625.7122206687927,1368.2131576538086,-146.18173778057098,0.9905205368995667,423.1042671203613,1371.1397552490234,-66.45316198468208,0.9919933080673218,neutral
4,512.6471650600433,786.3345336914062,-572.1244525909424,0.9999960064888,520.7067310810089,776.3801765441895,-549.3114280700684,0.9999904632568359,526.242424249649,776.5804481506348,-549.2493081092834,0.9999896287918091,531.7395579814911,776.9306373596191,-549.2649507522583,0.9999887347221375,505.15485405921936,777.1292495727539,-547.9151129722595,0.999991238117218,500.11348128318787,778.183536529541,-548.0188822746277,0.999990701675415,496.3497841358185,779.4952583312988,-548.0012440681458,0.9999904036521912,539.98126745224,785.2813339233398,-388.7343227863312,0.9999808669090271,491.2834346294403,789.5040893554688,-381.992472410202,0.9999836683273315,524.5438134670258,801.5453338623047,-510.2540338039398,0.999988317489624,503.5393810272217,802.6095771789551,-508.59742641448975,0.9999869465827942,582.3849320411682,866.7382621765137,-267.76644945144653,0.9999037384986877,457.9262387752533,870.1733207702637,-240.14875173568726,0.9998929500579834,585.3645014762878,964.5992660522461,-250.8361530303955,0.9832632541656494,452.53493428230286,966.8787002563477,-212.7650660276413,0.9596588611602783,529.1234064102173,1024.805030822754,-410.89608550071716,0.9584987163543701,483.523074388504,1030.5707931518555,-380.213041305542,0.8754309415817261,520.6970107555389,1051.6676330566406,-463.23527455329895,0.9186941385269165,489.67790722846985,1054.940528869629,-432.86067366600037,0.787216305732727,510.9231913089752,1043.5136032104492,-505.1903235912323,0.9206657409667969,499.8231911659241,1043.5704803466797,-462.5281047821045,0.7888867259025574,512.4534344673157,1034.2940139770508,-429.59503054618835,0.8882744312286377,499.1250014305115,1032.586669921875,-395.05102157592773,0.7526982426643372,562.0482730865479,1029.5487213134766,-11.757402531802654,0.9998072981834412,486.99445366859436,1034.7414779663086,11.598490700125694,0.9998631477355957,592.9150700569153,1181.8772506713867,-74.58290666341782,0.994592010974884,459.1902995109558,1182.1825790405273,-22.986885979771614,0.9961269497871399,601.8039536476135,1320.2039337158203,49.99179482460022,0.9960442185401917,447.66019105911255,1322.7298736572266,108.74003380537033,0.9968143701553345,593.4228444099426,1345.3133010864258,49.09422978758812,0.8878164887428284,457.22058176994324,1347.539291381836,109.10255044698715,0.9287401437759399,623.6130166053772,1368.2220840454102,-155.05547761917114,0.9909243583679199,423.05222153663635,1371.1372375488281,-71.84440612792969,0.9922513961791992,neutral
5,510.0097060203552,793.4236335754395,-570.2546095848083,0.9999961853027344,517.9736459255219,783.676872253418,-545.4462790489197,0.9999908804893494,523.4231114387512,783.6561012268066,-545.4282546043396,0.9999901056289673,528.9322507381439,783.8474464416504,-545.463080406189,0.9999893307685852,502.9200804233551,785.4477310180664,-547.6192545890808,0.9999915957450867,498.27624320983887,786.6014671325684,-547.7277231216431,0.9999910593032837,494.9682104587555,787.620735168457,-547.7331304550171,0.9999907612800598,537.6637423038483,790.7692337036133,-381.4740765094757,0.9999817609786987,490.7206857204437,796.8705940246582,-376.3913118839264,0.9999841451644897,522.5796961784363,808.3283042907715,-502.79374837875366,0.9999889731407166,502.0065951347351,809.7418212890625,-502.94299721717834,0.9999876022338867,580.0524401664734,872.237663269043,-262.5724482536316,0.9999089241027832,457.42902159690857,875.8178901672363,-233.36959719657898,0.9998959302902222,584.5705246925354,970.7759857177734,-244.72744345664978,0.9838862419128418,450.74562191963196,971.3587188720703,-193.40584695339203,0.9601031541824341,528.8542628288269,1029.4208908081055,-372.2694432735443,0.9597117900848389,479.2056727409363,1034.7166442871094,-343.68701934814453,0.87645024061203,520.4984200000763,1056.390037536621,-420.07184743881226,0.9203412532806396,484.9794816970825,1057.9988479614258,-392.6889503002167,0.7884783744812012,510.0723087787628,1048.8292694091797,-456.9217300415039,0.9222064018249512,495.6045377254486,1046.5635681152344,-423.42581033706665,0.7900439500808716,511.4304828643799,1039.6126556396484,-388.0419909954071,0.8903647661209106,495.0784492492676,1036.2322998046875,-358.03531408309937,0.754594624042511,560.3511428833008,1034.025764465332,-11.787352077662945,0.99981290102005,486.9269585609436,1039.9127197265625,11.629659309983253,0.9998660683631897,594.3134450912476,1183.5264587402344,-81.89109474420547,0.9947838187217712,456.75593733787537,1184.1095352172852,-24.125861898064613,0.996193528175354,601.3361549377441,1321.1334228515625,36.23863264918327,0.9961773157119751,446.3319504261017,1323.0126571655273,105.8805200457573,0.9968729615211487,592.5494313240051,1346.4380264282227,35.087546557188034,0.8912762999534607,456.4787793159485,1347.9212951660156,105.43777048587799,0.9296842217445374,622.8163361549377,1368.691520690918,-163.48317682743073,0.9911959767341614,422.65217542648315,1371.1555480957031,-78.84123802185059,0.992386519908905,neutral
6,507.7683663368225,799.119815826416,-535.0046861171722,0.9999963641166687,515.2537894248962,789.4246673583984,-512.3919582366943,0.9999913573265076,520.3883099555969,789.1304969787598,-512.3500514030457,0.9999906420707703,525.6312990188599,789.0697288513184,-512.3709082603455,0.999989926815033,500.4279434680939,791.9033432006836,-510.122230052948,0.9999918937683105,496.3063645362854,793.135814666748,-510.19712805747986,0.9999914169311523,492.7144467830658,794.4162368774414,-510.1790714263916,0.9999910593032837,534.8208045959473,795.4730987548828,-354.86507177352905,0.9999828338623047,488.6598479747772,803.7851142883301,-340.69953203201294,0.999984622001648,520.7548177242279,813.4779739379883,-473.24711322784424,0.9999896883964539,500.530264377594,815.332202911377,-469.66739416122437,0.9999882578849792,577.6670336723328,875.2114105224609,-245.3655570745468,0.9999156594276428,455.86955308914185,879.4716453552246,-193.96003425121307,0.99989914894104,584.4774413108826,973.7857818603516,-233.95711362361908,0.9847236275672913,448.0268597602844,973.5391616821289,-143.47160160541534,0.9589935541152954,528.3421111106873,1027.1343612670898,-385.570228099823,0.9617981910705566,478.1589353084564,1035.4668045043945,-297.2684419155121,0.8762053847312927,520.1041352748871,1054.3719863891602,-440.5319094657898,0.9239307045936584,484.1481685638428,1058.225326538086,-346.68004274368286,0.7886852622032166,509.09712195396423,1046.1828231811523,-473.25676918029785,0.9256869554519653,494.12540674209595,1046.2601852416992,-381.091765165329,0.7902471423149109,510.38445353507996,1036.9283294677734,-400.24685740470886,0.8947494029998779,493.49210500717163,1035.7787704467773,-313.84777665138245,0.7549190521240234,559.7924494743347,1039.6127700805664,-14.265000075101852,0.9998198747634888,486.2951695919037,1046.2670516967773,14.092241004109383,0.9998699426651001,595.7440710067749,1188.0933380126953,-98.81464004516602,0.9950146675109863,452.952618598938,1189.6413803100586,-37.63248950242996,0.9963290095329285,601.0967516899109,1323.372459411621,35.5912010371685,0.9963609576225281,444.8545253276825,1324.6274185180664,108.72432678937912,0.996985137462616,591.818540096283,1347.843246459961,35.456548780202866,0.895799458026886,455.30638575553894,1348.175926208496,111.12928658723831,0.9324495792388916,622.9669690132141,1371.998062133789,-165.96894085407257,0.9915809035301208,422.11392045021057,1374.133186340332,-64.73377078771591,0.9926425814628601,neutral
7,507.37594842910767,800.203742980957,-495.88475346565247,0.9999966025352478,514.7481071949005,789.8262977600098,-471.66643381118774,0.9999919533729553,519.8157441616058,789.6487426757812,-471.6279709339142,0.999991238117218,524.8579859733582,789.7443580627441,-471.63408637046814,0.9999905824661255,499.7219967842102,791.8124198913574,-470.1673150062561,0.9999923706054688,495.38676381111145,792.9879570007324,-470.23136615753174,0.9999918937683105,491.601437330246,794.4852447509766,-470.1902639865875,0.9999915957450867,533.2758843898773,796.6109848022461,-309.87740993499756,0.999984085559845,487.0994460582733,803.6436653137207,-302.6311004161835,0.9999855160713196,519.8730361461639,814.3955612182617,-433.95240783691406,0.9999904632568359,499.75199460983276,816.170654296875,-432.0679199695587,0.9999890923500061,575.6422448158264,875.7034492492676,-203.98151278495789,0.9999223351478577,453.2034480571747,880.0869369506836,-159.6375811100006,0.9999030828475952,584.3936920166016,974.6178817749023,-206.3202327489853,0.985676109790802,445.30561923980713,975.8723831176758,-132.61367619037628,0.9583019018173218,525.0777554512024,1024.8359298706055,-385.9274983406067,0.9642218351364136,477.26720809936523,1035.0130462646484,-309.88648653030396,0.8781485557556152,515.7762408256531,1049.9402618408203,-443.82272243499756,0.928154468536377,484.0212893486023,1054.5763778686523,-365.50676822662354,0.7924336791038513,505.7713544368744,1036.834716796875,-473.36835980415344,0.9297870397567749,492.9793417453766,1039.947738647461,-396.99663162231445,0.793908953666687,507.5742816925049,1027.4249267578125,-400.7854986190796,0.9000043869018555,491.9178628921509,1030.796127319336,-326.25654458999634,0.7583632469177246,558.5767006874084,1043.1386947631836,-14.612987525761127,0.9998276233673096,484.9925494194031,1049.326515197754,14.453379660844803,0.9998741149902344,595.6857490539551,1190.3667068481445,-101.88024401664734,0.9952530860900879,451.3045406341553,1192.862892150879,-47.354416251182556,0.9964637756347656,600.1728057861328,1325.6974411010742,37.01765477657318,0.9965418577194214,444.37987089157104,1325.6016540527344,107.52137213945389,0.9971086382865906,590.4483604431152,1349.8893356323242,37.45912492275238,0.9009543061256409,454.83176350593567,1348.3713912963867,110.30171513557434,0.9355403780937195,623.0702877044678,1375.624008178711,-165.47928750514984,0.991976261138916,420.7856798171997,1376.1006546020508,-65.97692236304283,0.9929121136665344,neutral
8,506.2463629245758,798.0919075012207,-492.12591648101807,0.9999967813491821,513.947821855545,787.4900436401367,-467.2953450679779,0.9999924898147583,518.9477062225342,787.3745727539062,-467.26129174232483,0.999991774559021,523.9270555973053,787.5077247619629,-467.2669565677643,0.9999911785125732,498.7921607494354,789.2456245422363,-466.1266529560089,0.999992847442627,494.3047499656677,790.3503227233887,-466.20036005973816,0.9999924302101135,490.5730140209198,791.7435836791992,-466.16215467453003,0.9999921321868896,531.9995605945587,794.6531295776367,-299.9063193798065,0.9999851584434509,485.74049949645996,801.350269317627,-295.03772377967834,0.9999865293502808,518.577207326889,812.3129653930664,-428.0550026893616,0.9999911785125732,498.2398724555969,813.8908195495605,-426.8486523628235,0.999989926815033,574.8695755004883,874.7012329101562,-190.52703738212585,0.9999268651008606,449.95460629463196,878.0542945861816,-154.3752157688141,0.999908447265625,583.9027190208435,974.333610534668,-203.87561917304993,0.986092746257782,442.44069814682007,974.8493957519531,-141.3607782125473,0.958325207233429,522.3857402801514,1016.0537338256836,-403.6560523509979,0.9650513529777527,475.84372758865356,1029.8154830932617,-368.85554909706116,0.8816048502922058,513.3944070339203,1041.9014739990234,-465.79561471939087,0.9294239282608032,483.9750373363495,1046.9372177124023,-429.76661682128906,0.798658549785614,503.807076215744,1026.5053939819336,-493.548721075058,0.9310172200202942,492.37269043922424,1030.5934524536133,-457.12498784065247,0.7999816536903381,505.69822669029236,1016.9322967529297,-417.8398096561432,0.9012768268585205,490.8256459236145,1022.4739837646484,-383.7364339828491,0.763945996761322,557.7679181098938,1042.7061080932617,-14.492013528943062,0.9998348951339722,483.4960377216339,1047.7799606323242,14.344183914363384,0.9998791813850403,594.5995187759399,1190.9679794311523,-89.22039717435837,0.9954583644866943,450.7176196575165,1192.7642440795898,-39.170658588409424,0.9966141581535339,598.7421798706055,1326.8292617797852,73.91848862171173,0.996695876121521,443.4152090549469,1326.9319152832031,138.5314553976059,0.9972453713417053,588.9303803443909,1351.0824966430664,76.57487332820892,0.9063661694526672,453.9812994003296,1349.4368362426758,142.95040547847748,0.9386205077171326,623.0994486808777,1376.7456436157227,-126.97447121143341,0.9923438429832458,419.82030987739563,1377.784309387207,-38.00403445959091,0.9932030439376831,neutral
9,505.94332695007324,793.3246994018555,-470.1382505893707,0.9999969005584717,513.2974934577942,782.2435569763184,-445.50092697143555,0.999992847442627,518.7006747722626,782.0090103149414,-445.4826772212982,0.9999921321868896,523.5674357414246,782.0645713806152,-445.4931700229645,0.9999915361404419,498.0577611923218,783.9603996276855,-444.42570447921753,0.9999931454658508,493.5981273651123,784.8365592956543,-444.4900453090668,0.9999927282333374,489.77317929267883,785.6184196472168,-444.4558310508728,0.9999924898147583,531.1172640323639,789.0594291687012,-276.32548570632935,0.9999860525131226,485.2246141433716,793.9132118225098,-271.3509964942932,0.9999872446060181,518.0059933662415,806.4277839660645,-404.9477291107178,0.9999917149543762,497.43321418762207,807.5995445251465,-403.7627184391022,0.9999905824661255,574.5545339584351,869.502067565918,-168.74610543251038,0.9999312162399292,449.340455532074,874.010066986084,-131.4354971051216,0.9999127388000488,583.715136051178,970.3985595703125,-194.8485267162323,0.9861106276512146,441.41626596450806,969.7826385498047,-143.10282468795776,0.9571484327316284,521.1268937587738,1003.1264877319336,-413.6815059185028,0.9653213620185852,471.5866434574127,1017.9194641113281,-388.5815978050232,0.8843287229537964,511.578186750412,1029.1239166259766,-477.6912331581116,0.9301581978797913,481.98790669441223,1035.3364562988281,-452.937136888504,0.8046295642852783,502.70320773124695,1014.6411895751953,-506.16377234458923,0.931721031665802,489.03414487838745,1015.4798126220703,-480.52390336990356,0.8059225678443909,504.157555103302,1005.2546310424805,-428.39685559272766,0.9018973112106323,487.63367772102356,1009.8216247558594,-404.14860248565674,0.769461989402771,556.7490220069885,1042.3320007324219,-14.528091587126255,0.9998411536216736,482.10702896118164,1046.8747329711914,14.383857809007168,0.9998830556869507,589.7831296920776,1190.0559997558594,-75.91131627559662,0.9956557750701904,450.17656445503235,1191.830062866211,-29.54129822552204,0.9967350363731384,596.9672226905823,1326.5541458129883,110.38092613220215,0.9968116283416748,442.4610722064972,1327.0628356933594,162.09671080112457,0.9973441362380981,587.7511310577393,1349.9982833862305,115.47233283519745,0.9090122580528259,453.6279237270355,1349.4747161865234,168.1484341621399,0.940376341342926,620.1592111587524,1376.7742538452148,-92.09786295890808,0.9926354885101318,416.96327447891235,1379.765396118164,-18.920422419905663,0.9934408068656921,neutral
10,505.3087055683136,781.0499954223633,-464.193434715271,0.9999968409538269,512.9594707489014,769.0702629089355,-440.14795660972595,0.999992847442627,518.4794890880585,768.6051177978516,-440.14901876449585,0.9999921321868896,523.4511137008667,768.460865020752,-440.17518639564514,0.9999915361404419,496.9620358943939,771.1876487731934,-437.7341294288635,0.999993085861206,491.94647669792175,772.1967315673828,-437.79064893722534,0.9999926090240479,488.2607674598694,772.7684211730957,-437.7740728855133,0.9999924302101135,530.9346377849579,775.5154609680176,-271.5572154521942,0.9999864101409912,484.3744397163391,780.3129959106445,-259.42974150180817,0.9999873042106628,517.5774621963501,794.5555686950684,-398.95347476005554,0.9999920725822449,496.6481852531433,796.5300178527832,-395.80389618873596,0.9999909400939941,574.9506855010986,856.2546157836914,-162.67470002174377,0.9999356269836426,448.74191522598267,861.229190826416,-115.04158079624176,0.999915599822998,583.3798813819885,957.7627944946289,-195.7595819234848,0.9862033724784851,440.8350741863251,958.9761543273926,-118.05435866117477,0.9539580345153809,521.0550534725189,987.9432678222656,-434.6860671043396,0.965811014175415,467.7219772338867,1004.3196487426758,-361.74139738082886,0.8826913237571716,509.6846544742584,1010.7271957397461,-501.0798490047455,0.9314904808998108,478.0025088787079,1021.329231262207,-421.91819429397583,0.8048425912857056,501.70008301734924,996.796875,-527.2858142852783,0.9329774975776672,484.5663356781006,1002.7920913696289,-451.6989862918854,0.8060600161552429,503.56741547584534,987.6449203491211,-448.58684062957764,0.9030653238296509,483.17002058029175,996.0577011108398,-377.356778383255,0.7682775855064392,556.0958933830261,1031.645622253418,-14.694348983466625,0.9998465776443481,480.46680450439453,1036.871452331543,14.556135088205338,0.9998847246170044,584.2186617851257,1186.212158203125,-68.64383608102798,0.9958342909812927,448.6345410346985,1187.292137145996,-22.693336978554726,0.9968209862709045,596.1917209625244,1326.2638092041016,134.13908332586288,0.9969103932380676,439.9184024333954,1326.1493682861328,184.2047381401062,0.997399628162384,587.5789976119995,1348.5000228881836,141.1817890405655,0.9096732139587402,451.0828399658203,1346.9615936279297,192.1168738603592,0.9405569434165955,618.2490062713623,1376.714973449707,-73.65842968225479,0.9928521513938904,415.26408433914185,1380.849380493164,-3.367921533063054,0.993567943572998,neutral
