frame,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,shot
1,483.4744083881378,700.9346580505371,-710.6506133079529,0.9999980926513672,481.19170904159546,685.4929733276367,-677.6020216941833,0.9999979734420776,483.2281172275543,685.1538276672363,-677.7836179733276,0.999997615814209,485.21315574645996,684.8529052734375,-677.9907703399658,0.9999980926513672,471.04304552078247,685.9970283508301,-703.4591174125671,0.9999973773956299,465.70204854011536,686.5983009338379,-703.5149931907654,0.9999963045120239,459.8431384563446,687.3026275634766,-703.5698390007019,0.999996542930603,476.68315172195435,691.1030387878418,-465.432904958725,0.9999974966049194,440.20981907844543,696.5503120422363,-574.4962120056152,0.9999977350234985,484.9199688434601,717.5883865356445,-626.4134359359741,0.9999991655349731,474.56984996795654,717.359447479248,-658.2428026199341,0.9999992847442627,507.01523423194885,773.9770317077637,-242.2499030828476,0.999993085861206,385.708372592926,787.313060760498,-557.2976088523865,0.9999920129776001,507.49980211257935,879.1176795959473,-335.96386671066284,0.9660583138465881,381.8070459365845,914.4709396362305,-671.4181566238403,0.998274564743042,529.5618188381195,947.7239227294922,-688.1224393844604,0.9668174386024475,489.5968294143677,977.4912643432617,-803.563277721405,0.9957336783409119,538.1043756008148,970.8309173583984,-766.2462401390076,0.956264317035675,517.3917138576508,988.3245849609375,-881.6939663887024,0.9908691644668579,538.762686252594,959.8068237304688,-807.6993727684021,0.9562622904777527,524.425528049469,973.0057525634766,-892.4445176124573,0.989373505115509,532.8942811489105,953.2134246826172,-715.8337354660034,0.9489793181419373,516.8883812427521,965.4610061645508,-809.1738367080688,0.9768308401107788,412.0043635368347,958.3638381958008,104.17763650417328,0.9998914003372192,336.6574537754059,950.8394050598145,-104.17469948530197,0.9999057054519653,499.35017824172974,1091.392478942871,-25.750248581171036,0.9519620537757874,356.83115243911743,1119.236183166504,-325.159113407135,0.9974455833435059,478.2852029800415,1230.611915588379,237.05981254577637,0.9599933624267578,329.48452949523926,1276.8852996826172,-201.73732459545135,0.9964062571525574,459.3717670440674,1254.7186660766602,252.8218674659729,0.9348094463348389,316.51774406433105,1302.4579238891602,-199.4053477048874,0.9504094123840332,549.4385004043579,1260.7184600830078,97.41848587989807,0.9499985575675964,369.4107663631439,1329.6475982666016,-432.83653378486633,0.9913902282714844,neutral
2,483.41267466545105,701.0579109191895,-631.210834980011,0.9999974966049194,481.156690120697,685.5036735534668,-597.2209167480469,0.9999968409538269,483.22747349739075,685.1604080200195,-597.3809480667114,0.9999966025352478,485.2319526672363,684.8613739013672,-597.5566864013672,0.9999972581863403,470.92939496040344,686.2308883666992,-619.6385622024536,0.9999960660934448,465.4662823677063,686.8665504455566,-619.7127199172974,0.9999948143959045,459.4780147075653,687.8264236450195,-619.7458720207214,0.9999949336051941,477.1901214122772,691.1721038818359,-396.6527187824249,0.9999958872795105,440.0827467441559,696.9927978515625,-490.17773151397705,0.9999958872795105,484.94529962539673,717.5901031494141,-553.6660051345825,0.9999987483024597,474.42481756210327,717.5336265563965,-581.1818647384644,0.9999988675117493,507.38550782203674,774.5792770385742,-196.22958540916443,0.999993085861206,385.534565448761,787.2525215148926,-481.5295708179474,0.9999915957450867,508.46575140953064,878.6157417297363,-258.70467603206635,0.9668095111846924,381.7853844165802,911.802978515625,-570.1788425445557,0.9981516003608704,529.3331336975098,947.768497467041,-572.907292842865,0.9683495163917542,481.8523049354553,975.3080749511719,-675.5100917816162,0.9955374002456665,538.1002235412598,970.1054763793945,-639.6388721466064,0.9578598737716675,508.8170027732849,989.2490386962891,-746.5253734588623,0.9905416965484619,538.6729824542999,960.1395034790039,-681.2558341026306,0.9578660726547241,519.3883073329926,973.2828140258789,-757.847363948822,0.9890618920326233,532.8419780731201,953.4254837036133,-598.3865189552307,0.9506966471672058,512.1788835525513,965.5099868774414,-680.8688879013062,0.9762967228889465,411.95006489753723,958.1041717529297,104.13251906633377,0.9998816847801208,335.5421268939972,950.445671081543,-104.13284093141556,0.9999012351036072,496.8796384334564,1090.7804489135742,-26.344900354743004,0.9517449140548706,356.89629793167114,1118.7920379638672,-348.8821792602539,0.9974484443664551,478.2132017612457,1230.4692077636719,229.56980288028717,0.9592690467834473,328.1977128982544,1277.0812225341797,-248.40845346450806,0.9964041113853455,458.58397006988525,1254.7248458862305,245.50706505775452,0.9321972727775574,314.6958267688751,1302.4522018432617,-248.80331754684448,0.9507244229316711,548.9593076705933,1261.5070724487305,99.84431862831116,0.9499514102935791,369.6522295475006,1331.9536972045898,-467.63002038002014,0.9915583729743958,neutral
3,483.2889175415039,701.0623168945312,-653.9160346984863,0.9999969601631165,480.97551226615906,685.4585838317871,-619.2816138267517,0.999995768070221,483.1513524055481,685.1025581359863,-619.4424819946289,0.9999955892562866,485.2177906036377,684.8047828674316,-619.6263957023621,0.9999964237213135,470.6821382045746,686.3385200500488,-643.3898878097534,0.9999949336051941,465.11454820632935,687.1090507507324,-643.468165397644,0.9999935030937195,459.02392745018005,688.2948875427246,-643.5062098503113,0.999993622303009,477.19839334487915,691.2454605102539,-414.9660050868988,0.9999940991401672,439.4642186164856,697.5900077819824,-516.3849520683289,0.9999940991401672,484.9571442604065,717.5562286376953,-574.7777152061462,0.9999982714653015,474.27186727523804,717.5850677490234,-604.5342707633972,0.9999984502792358,507.3957431316376,774.5650291442871,-208.4395533800125,0.9999930262565613,384.6142888069153,788.400993347168,-500.03777861595154,0.9999908208847046,508.4342408180237,875.9192276000977,-251.46562457084656,0.9672835469245911,382.06061124801636,911.8459510803223,-579.6425771713257,0.9980136752128601,527.5354528427124,947.878532409668,-545.3349781036377,0.9698483943939209,478.5059702396393,975.3392028808594,-677.9775094985962,0.9953465461730957,536.3657891750336,969.9927520751953,-609.735095500946,0.959471583366394,505.5685794353485,990.9820175170898,-749.1700744628906,0.9902467131614685,536.8094480037689,960.4718399047852,-654.8673391342163,0.9594817757606506,516.8715155124664,973.6784362792969,-762.0344424247742,0.9887751936912537,531.1939001083374,953.5529708862305,-571.7755508422852,0.9524335265159607,509.44769740104675,965.8324813842773,-683.8922309875488,0.975744366645813,412.1662938594818,957.8549766540527,104.15995001792908,0.999872088432312,334.65368270874023,950.4525375366211,-104.16209846735,0.9998980164527893,494.1809606552124,1090.6721878051758,-19.487440064549446,0.9516415596008301,356.8469560146332,1118.7127304077148,-368.27712535858154,0.9974656105041504,476.2850046157837,1230.4204559326172,270.5646800994873,0.9582604169845581,326.5455150604248,1278.2567596435547,-264.2839980125427,0.9964699745178223,455.2611315250397,1254.884033203125,290.4939544200897,0.9294902682304382,311.73357367515564,1303.3213806152344,-264.3583005666733,0.9516634345054626,546.2450194358826,1262.6763153076172,156.09094977378845,0.9497955441474915,369.6100652217865,1336.633529663086,-487.24274039268494,0.9918437600135803,neutral
4,482.75652050971985,701.5259742736816,-652.5392246246338,0.9999964833259583,480.5369710922241,685.7859992980957,-618.6370468139648,0.9999948740005493,482.8578758239746,685.3999900817871,-618.7930870056152,0.9999947547912598,485.0435972213745,685.092658996582,-618.9811849594116,0.999995768070221,470.1896846294403,687.2285270690918,-642.8145217895508,0.9999939203262329,464.5168447494507,688.1609916687012,-642.8924775123596,0.9999923706054688,458.40314626693726,689.4460487365723,-642.9275608062744,0.9999923706054688,477.12600588798523,692.4239730834961,-415.2982985973358,0.9999927282333374,438.88946413993835,698.8519477844238,-517.2043561935425,0.9999925494194031,484.8166501522064,717.9345703125,-573.5723948478699,0.9999979138374329,473.58709931373596,718.1525802612305,-603.4937453269958,0.9999980926513672,507.3816132545471,775.1031875610352,-209.7220891714096,0.9999930262565613,383.63643050193787,788.3909797668457,-500.66078066825867,0.9999904036521912,508.2606267929077,875.4588890075684,-257.75839269161224,0.9681799411773682,381.9854235649109,910.7724380493164,-589.3043875694275,0.9979124665260315,526.2763166427612,948.1669235229492,-565.4705357551575,0.9714521765708923,475.892972946167,975.3529357910156,-700.9711647033691,0.9952027201652527,535.8101856708527,969.8973083496094,-632.7707862854004,0.9612916111946106,503.3361232280731,992.17529296875,-774.3921303749084,0.9900288581848145,535.9405410289764,961.3518905639648,-677.8064703941345,0.9613133668899536,515.369918346405,974.7193908691406,-787.4742722511292,0.988568902015686,530.0857508182526,954.3432426452637,-592.3052644729614,0.9544339776039124,508.3051085472107,966.8036270141602,-707.3153829574585,0.9753420948982239,412.2187900543213,957.5887870788574,104.3249300122261,0.9998641014099121,333.7972962856293,950.5264091491699,-104.33156043291092,0.9998955130577087,493.16959619522095,1090.6111907958984,-25.321677178144455,0.9522915482521057,356.2577819824219,1118.726692199707,-372.67425298690796,0.9974938631057739,474.4324457645416,1230.3910446166992,262.6425504684448,0.9578350782394409,324.31933522224426,1278.9079284667969,-271.2897777557373,0.9965368509292603,452.16002583503723,1254.8824310302734,281.86230540275574,0.9281176328659058,309.6856427192688,1304.0400695800781,-272.040399312973,0.9526093602180481,544.0701770782471,1265.452995300293,145.29435575008392,0.950036883354187,368.22462916374207,1338.3496856689453,-497.64564514160156,0.9920947551727295,neutral
5,482.09370374679565,702.7078628540039,-675.0580644607544,0.9999960064888,479.54527258872986,686.9338417053223,-638.6857008934021,0.9999939799308777,481.9530165195465,686.4642333984375,-638.8331151008606,0.9999939203262329,484.251583814621,686.1468315124512,-639.0181875228882,0.9999950528144836,468.9674663543701,689.1857528686523,-661.6968655586243,0.9999929666519165,463.30135345458984,690.2666473388672,-661.8073296546936,0.9999912977218628,457.04577684402466,691.7245674133301,-661.8526482582092,0.9999913573265076,476.5070593357086,694.8606491088867,-433.16370964050293,0.9999911785125732,437.7146887779236,702.2298431396484,-529.4231593608856,0.9999913573265076,484.6170938014984,718.9438819885254,-596.6118836402893,0.999997615814209,473.09940934181213,720.278205871582,-625.3853988647461,0.9999978542327881,507.33532905578613,776.5326118469238,-229.17387664318085,0.999992847442627,382.72236585617065,790.6281852722168,-505.2232503890991,0.9999901652336121,507.7195072174072,875.7770347595215,-272.9309678077698,0.9687380194664001,379.5979571342468,912.6293563842773,-606.6707468032837,0.9979046583175659,525.5336451530457,948.6422538757324,-570.2434730529785,0.9725157618522644,474.12306904792786,977.0999908447266,-724.2440056800842,0.9952442049980164,535.5113983154297,970.1882171630859,-641.6747975349426,0.9624648094177246,503.0115222930908,993.8969421386719,-798.9003539085388,0.9901036620140076,535.5574893951416,962.5772094726562,-687.3237633705139,0.9624825716018677,514.1458010673523,975.9014511108398,-811.0475420951843,0.9886655807495117,529.7727692127228,954.9955558776855,-599.9802660942078,0.9556567668914795,506.14088773727417,967.7751159667969,-730.164520740509,0.9754801988601685,411.7198669910431,957.5494766235352,104.59705889225006,0.9998586773872375,332.8217554092407,950.5355644226074,-104.60680335760117,0.9998950362205505,492.25884675979614,1090.7074356079102,-29.750468283891678,0.9525073170661926,355.8821976184845,1118.514633178711,-389.59659934043884,0.9975466132164001,470.4712200164795,1230.567512512207,272.08494544029236,0.9577311277389526,321.7345654964447,1278.9206314086914,-270.1874542236328,0.9966433048248291,447.23577976226807,1254.924201965332,293.01148653030396,0.9272229075431824,306.98519468307495,1304.0351486206055,-269.324614405632,0.9538515210151672,540.4085111618042,1266.9415283203125,152.42725610733032,0.9505360722541809,363.5589373111725,1339.4306945800781,-499.5301330089569,0.9924087524414062,neutral
6,481.86311960220337,705.2212715148926,-675.1985263824463,0.9999957084655762,479.19878482818604,689.0841865539551,-640.4468822479248,0.999993622303009,481.6701936721802,688.5295486450195,-640.6074929237366,0.999993622303009,483.9928364753723,688.1847381591797,-640.7856130599976,0.9999948143959045,468.5375189781189,691.8595504760742,-663.9591264724731,0.9999924898147583,462.9306936264038,692.768497467041,-664.0549778938293,0.9999907612800598,456.54369950294495,694.3626022338867,-664.1102743148804,0.9999908208847046,476.1867070198059,697.5373077392578,-434.77515935897827,0.9999908804893494,436.87368750572205,705.0209426879883,-534.3301856517792,0.9999908208847046,484.49806809425354,721.032772064209,-597.1698045730591,0.9999974370002747,472.8209960460663,723.819637298584,-626.2293934822083,0.9999977350234985,507.33240008354187,779.7422218322754,-228.26155006885529,0.999992847442627,382.57720470428467,790.5520248413086,-513.163822889328,0.9999897480010986,507.6970088481903,879.4782257080078,-279.0390658378601,0.9696363210678101,376.5641212463379,912.1532249450684,-607.2916889190674,0.9977688789367676,524.5965671539307,953.2149696350098,-591.7074966430664,0.9737212061882019,470.14758467674255,979.4585037231445,-749.2873620986938,0.9949789643287659,533.4967803955078,973.6980056762695,-658.2914686203003,0.9637851715087891,499.1715431213379,996.8716049194336,-825.9937334060669,0.9896235466003418,532.7759957313538,967.1569061279297,-701.6174054145813,0.9637954235076904,510.0982189178467,979.4098663330078,-835.473883152008,0.9881365299224854,527.7498149871826,959.6609687805176,-618.0714654922485,0.9569934606552124,502.16752767562866,971.0321044921875,-754.6723580360413,0.9743423461914062,410.3528094291687,958.6183547973633,105.93481868505478,0.9998565316200256,331.39373660087585,950.9337615966797,-105.95016360282898,0.9998953342437744,492.1452283859253,1092.484359741211,-45.4011096060276,0.9539290070533752,355.44291615486145,1118.7609100341797,-397.7669835090637,0.9976082444190979,468.071973323822,1231.0332870483398,265.5356991291046,0.9581863880157471,320.0415873527527,1279.757423400879,-273.9971458911896,0.9967490434646606,444.58683013916016,1255.430030822754,285.5410945415497,0.9274335503578186,305.3645396232605,1305.0742721557617,-272.75848031044006,0.9549846053123474,539.1333138942719,1269.8640060424805,143.3632457256317,0.951200008392334,361.3109350204468,1342.027931213379,-505.9067630767822,0.9926721453666687,neutral
7,480.729124546051,709.2671585083008,-747.4165534973145,0.9999954700469971,478.0975878238678,693.3417892456055,-709.7186851501465,0.9999934434890747,480.9962725639343,692.8115272521973,-709.8935222625732,0.9999934434890747,483.63672494888306,692.428035736084,-710.1311230659485,0.999994695186615,466.36348128318787,695.4571151733398,-733.7383818626404,0.9999921321868896,460.3004765510559,696.9641876220703,-733.8142776489258,0.9999902844429016,453.28497648239136,698.968620300293,-733.8425374031067,0.9999904036521912,476.2180244922638,700.8969497680664,-484.1989588737488,0.9999908208847046,433.8694632053375,710.7547760009766,-584.6057367324829,0.9999905228614807,484.1054570674896,725.544490814209,-660.3898358345032,0.9999973773956299,471.3344943523407,729.5499229431152,-689.8878693580627,0.9999976754188538,506.90943717956543,783.3437919616699,-260.93610227108,0.9999929070472717,381.86771750450134,793.9890289306641,-552.1279406547546,0.9999890923500061,507.6477634906769,885.5246543884277,-359.26059007644653,0.9705425500869751,375.1142156124115,917.7091026306152,-677.9484128952026,0.9976648092269897,524.6617448329926,955.6565093994141,-728.038215637207,0.9745851755142212,469.0793466567993,983.4241104125977,-834.6536421775818,0.9948020577430725,533.320140838623,976.351318359375,-805.0281500816345,0.9646929502487183,498.4315752983093,999.9465179443359,-915.1199126243591,0.9892857670783997,532.4737644195557,969.3389511108398,-844.3111395835876,0.9646583795547485,509.39539432525635,981.0517501831055,-920.52570104599,0.9877411723136902,527.7374875545502,961.3683700561523,-753.971529006958,0.9577509164810181,501.3451302051544,972.7169036865234,-838.6730289459229,0.973280668258667,408.44646692276,960.7007217407227,108.1629940867424,0.9998565912246704,329.4911277294159,954.5831108093262,-108.15592110157013,0.9998935461044312,493.0265271663666,1094.9205780029297,-69.82200711965561,0.9547373056411743,354.4253075122833,1120.7393646240234,-407.16341614723206,0.9976333379745483,464.47516322135925,1231.8827819824219,263.6056512594223,0.9586631059646606,317.40023374557495,1279.7555923461914,-271.75387501716614,0.996829628944397,440.2681088447571,1256.107406616211,285.2523171901703,0.92801833152771,302.36562609672546,1305.0928115844727,-262.50765681266785,0.955679714679718,536.554981470108,1272.257423400879,138.48484933376312,0.9517694115638733,356.0695552825928,1343.807601928711,-494.9344789981842,0.9928908348083496,neutral
8,477.8816485404968,714.9691772460938,-729.3077802658081,0.9999950528144836,475.76255321502686,699.4437789916992,-692.209997177124,0.9999927878379822,478.9481484889984,699.1383934020996,-692.3776888847351,0.9999927878379822,481.91622734069824,698.9783477783203,-692.6058268547058,0.9999940991401672,463.4394657611847,701.5514373779297,-716.880955696106,0.9999913573265076,457.3425042629242,702.886905670166,-716.9569158554077,0.99998939037323,450.3135824203491,704.5611763000488,-716.9862699508667,0.9999894499778748,475.45398116111755,705.9654808044434,-471.58204078674316,0.9999898076057434,430.7271909713745,717.4381828308105,-574.3493127822876,0.9999894499778748,482.10915327072144,730.9688186645508,-643.2393836975098,0.9999969005584717,468.30172061920166,734.948787689209,-673.6981201171875,0.9999973177909851,504.03122305870056,785.4513931274414,-250.4495769739151,0.9999926686286926,381.7593777179718,795.648193359375,-547.1611762046814,0.9999874830245972,505.7305097579956,886.5403175354004,-286.156210899353,0.9705718755722046,374.88826632499695,920.2032279968262,-670.8467173576355,0.9975382685661316,524.0963244438171,956.5151596069336,-603.667938709259,0.9752941727638245,469.79169845581055,985.1636123657227,-830.9771704673767,0.9944936037063599,532.8055429458618,978.4986877441406,-671.5457439422607,0.9653254747390747,498.98460388183594,1002.7350997924805,-904.0225839614868,0.9886845350265503,531.8383061885834,971.4462661743164,-715.8567810058594,0.965284526348114,509.89872694015503,984.0989685058594,-909.9718737602234,0.9870836734771729,526.8870878219604,963.1955337524414,-630.3577637672424,0.9583048820495605,501.93031311035156,974.8481369018555,-837.3874998092651,0.971911609172821,405.40889739990234,963.0147171020508,110.65844625234604,0.999849796295166,327.39617228507996,959.410572052002,-110.6570702791214,0.9998838901519775,493.67817521095276,1098.079605102539,-61.91209226846695,0.9549660086631775,353.96716475486755,1123.6931991577148,-394.81924653053284,0.9975537061691284,462.6798963546753,1233.0956268310547,256.5905213356018,0.9581131935119629,315.2302837371826,1279.9464797973633,-268.928382396698,0.996787428855896,438.61932277679443,1257.5009536743164,279.2850995063782,0.9276331067085266,300.3753733634949,1305.003662109375,-258.7676650285721,0.9552965760231018,534.4653367996216,1273.8679504394531,136.15792572498322,0.951499342918396,353.1681990623474,1345.5460739135742,-485.3912115097046,0.9928855299949646,neutral
9,474.9575686454773,719.3109512329102,-740.8688521385193,0.9999946355819702,473.17604541778564,703.4080123901367,-702.5595688819885,0.9999921917915344,476.44287943840027,703.2574653625488,-702.7324748039246,0.9999921917915344,479.48238015174866,703.2844734191895,-702.9702043533325,0.999993622303009,460.51734924316406,705.2030754089355,-726.8182826042175,0.9999906420707703,454.1469955444336,706.4308547973633,-726.8972039222717,0.9999885559082031,446.8826937675476,708.5426902770996,-726.9120097160339,0.9999884963035583,473.98550391197205,710.2780151367188,-475.813729763031,0.9999890327453613,426.0689342021942,723.709888458252,-577.5119590759277,0.999988317489624,479.46004271507263,735.846061706543,-652.9384660720825,0.9999964237213135,465.0378155708313,740.2322387695312,-682.7481937408447,0.9999969005584717,499.9171757698059,789.8319625854492,-254.10602867603302,0.999992311000824,379.3752586841583,806.6122627258301,-547.6397895812988,0.999984085559845,504.6844482421875,888.1545066833496,-323.06328892707825,0.9704880118370056,376.8363547325134,933.1943321228027,-679.3259954452515,0.9973458051681519,523.6292016506195,956.7606353759766,-662.6856994628906,0.9759232401847839,470.36799788475037,986.1379623413086,-844.091112613678,0.994292140007019,532.8105962276459,978.4018707275391,-736.6087102890015,0.9660113453865051,499.7047770023346,1002.8221893310547,-922.8249764442444,0.9884196519851685,531.7763793468475,972.2629165649414,-776.3155961036682,0.9659550786018372,510.41094303131104,984.7662734985352,-929.679479598999,0.986804723739624,526.3808584213257,964.3325042724609,-688.1286191940308,0.9588706493377686,502.4803161621094,975.6485366821289,-849.2025232315063,0.9711470603942871,404.8527145385742,970.9889602661133,110.4231870174408,0.9998409748077393,326.2136399745941,967.8706741333008,-110.42268007993698,0.999869167804718,495.2900433540344,1102.7275085449219,-76.01337969303131,0.9559447765350342,352.83056259155273,1129.331932067871,-386.7422676086426,0.9974757432937622,459.5362079143524,1235.1630020141602,261.5026170015335,0.9579977989196777,312.92553663253784,1280.1118469238281,-214.87436056137085,0.9967396259307861,435.4395532608032,1258.5804748535156,286.28965616226196,0.9275185465812683,297.26680040359497,1304.556541442871,-206.23324871063232,0.9543471932411194,531.134580373764,1276.497917175293,146.8244057893753,0.9517417550086975,348.8662791252136,1347.6521301269531,-431.62158966064453,0.9928964376449585,neutral
10,471.16400241851807,722.1104621887207,-733.2151579856873,0.999994695186615,469.00660514831543,706.5993118286133,-695.4028987884521,0.9999922513961792,472.09248661994934,706.4432716369629,-695.5633163452148,0.9999922513961792,475.1170527935028,706.4627265930176,-695.7859826087952,0.9999936819076538,456.5407061576843,708.0298805236816,-718.6446475982666,0.999990701675415,450.08554100990295,708.8409805297852,-718.7217664718628,0.9999886751174927,443.1953752040863,711.0632514953613,-718.7348985671997,0.9999886155128479,470.11082768440247,712.6995277404785,-471.8250811100006,0.9999892115592957,421.4327895641327,725.489387512207,-577.0963025093079,0.9999884366989136,475.98148584365845,738.8541412353516,-646.9054269790649,0.9999964237213135,460.7797658443451,742.910099029541,-675.1992344856262,0.9999969005584717,497.04604268074036,793.1750679016113,-255.58812081813812,0.9999921917915344,375.8824110031128,812.0064353942871,-545.8151364326477,0.9999834895133972,504.7207546234131,888.797664642334,-368.4004318714142,0.9710364937782288,380.68544268608093,939.8925018310547,-693.2774949073792,0.9973676800727844,525.3061509132385,956.7802047729492,-736.7149901390076,0.9765517711639404,471.54969334602356,985.7473754882812,-861.2190341949463,0.9944387078285217,535.194650888443,978.3028793334961,-814.4959402084351,0.9666368961334229,502.5219655036926,1002.6579666137695,-941.2458300590515,0.9886887669563293,533.6991047859192,971.0414886474609,-845.388035774231,0.9665300250053406,510.842821598053,984.2793273925781,-942.7426314353943,0.9871092438697815,527.7884387969971,963.5274124145508,-759.4418835639954,0.9593030214309692,502.65103340148926,975.3723907470703,-864.2387080192566,0.971598744392395,405.06839632987976,975.3381729125977,109.21781837940216,0.9998323321342468,325.9675097465515,973.5356140136719,-109.24367219209671,0.9998623728752136,496.1008858680725,1108.5008239746094,-84.38908159732819,0.9575243592262268,352.11843609809875,1134.1460037231445,-391.7270565032959,0.997517466545105,458.7824320793152,1236.5349197387695,286.96637749671936,0.9588167667388916,309.5078766345978,1282.020149230957,-205.12891352176666,0.9968215227127075,434.3419289588928,1259.5770263671875,315.74790716171265,0.9280700087547302,294.26048398017883,1304.8820114135742,-195.91536462306976,0.9546199440956116,528.3316504955292,1278.7147521972656,180.3960120677948,0.9528728127479553,343.9620852470398,1349.728889465332,-419.4177210330963,0.9931221604347229,neutral
