frame,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,shot
1,495.72362780570984,724.7823715209961,-538.487845659256,0.9998708367347717,492.94355034828186,708.9086723327637,-507.82166719436646,0.9998722672462463,495.3147304058075,708.9432334899902,-507.8742277622223,0.9998749494552612,500.0410294532776,709.2922210693359,-507.95002698898315,0.999873161315918,483.26526045799255,710.0109672546387,-495.6469917297363,0.9998840093612671,476.53692841529846,710.9928703308105,-495.62198281288147,0.9998906254768372,470.0670540332794,712.2799301147461,-495.527161359787,0.9999027252197266,509.8381197452545,718.6364936828613,-297.6811695098877,0.9998535513877869,463.94099593162537,722.3937034606934,-234.8306554555893,0.999870240688324,498.3944320678711,743.9571762084961,-457.35798597335815,0.9996300935745239,483.73367071151733,745.5582046508789,-439.7053599357605,0.9996469616889954,565.2316474914551,822.3977851867676,-188.49806427955627,0.9995816946029663,428.83336901664734,822.692813873291,-52.068685591220856,0.9997164607048035,551.2594842910767,955.8241653442383,-317.1682012081146,0.6427778601646423,395.4319489002228,946.4461326599121,-31.426745653152466,0.7505321502685547,465.2052175998688,925.8817291259766,-675.9385585784912,0.23645488917827606,392.21030473709106,993.6860275268555,-349.0900719165802,0.2398938536643982,449.6139442920685,933.3745193481445,-770.1845169067383,0.23470397293567657,390.5807340145111,1014.0194320678711,-424.30723786354065,0.2223353385925293,459.84867453575134,907.913818359375,-779.3119025230408,0.2346828281879425,399.5068895816803,1005.1048278808594,-471.33153319358826,0.21941211819648743,466.86375617980957,909.8945045471191,-684.3918943405151,0.22952154278755188,402.5529885292053,996.9692230224609,-377.3522400856018,0.20963041484355927,542.9579401016235,1048.8087844848633,-22.285181879997253,0.9996956586837769,462.2808802127838,1051.5549087524414,22.09095038473606,0.999696671962738,611.2206315994263,1244.4667053222656,-122.63980954885483,0.9952883720397949,397.0119845867157,1226.2636184692383,-12.522122785449028,0.9884226322174072,624.5624542236328,1405.4422760009766,216.2235063314438,0.9913991689682007,398.64052534103394,1398.3515167236328,292.4871039390564,0.9907466173171997,613.4252142906189,1427.0317840576172,235.22217214107513,0.9866253733634949,415.2051830291748,1426.8013000488281,309.89028453826904,0.9832067489624023,651.1046719551086,1471.0596084594727,-39.245403707027435,0.8560890555381775,354.1061782836914,1460.2156448364258,94.31495010852814,0.9002371430397034,forehand_follow_through
2,487.79377341270447,729.2058563232422,-405.7742464542389,0.9998835325241089,491.35775327682495,712.5941276550293,-379.50751304626465,0.9998847246170044,496.7854928970337,712.8905868530273,-379.5795786380768,0.9998870491981506,503.62486839294434,713.4312629699707,-379.6052956581116,0.9998854398727417,474.0763020515442,713.375415802002,-363.034747838974,0.9998951554298401,467.3685371875763,714.3060493469238,-363.00111293792725,0.9999008774757385,460.8202886581421,715.6130790710449,-362.923446893692,0.9999116659164429,517.1076035499573,722.8298377990723,-197.16560125350952,0.9998677372932434,456.55879497528076,725.2301788330078,-120.26231288909912,0.9998819828033447,496.35908603668213,748.7651824951172,-335.8401095867157,0.9996668696403503,473.31589579582214,749.1525650024414,-313.7865900993347,0.999681830406189,569.7693014144897,826.6201972961426,-141.08609855175018,0.9996222853660583,427.4211537837982,819.9021148681641,40.1869435608387,0.9997408986091614,540.7605028152466,947.9438209533691,-333.1647992134094,0.6781004071235657,401.3287103176117,928.8894081115723,-2.650951724499464,0.7562174797058105,455.26872754096985,900.553150177002,-669.8890399932861,0.3125435709953308,369.39441561698914,979.97314453125,-365.9459853172302,0.30447763204574585,420.10751008987427,884.5680999755859,-762.1956968307495,0.31060197949409485,358.8412320613861,1005.5595016479492,-442.7111291885376,0.28474754095077515,418.12836170196533,867.7361297607422,-758.128674030304,0.3105669617652893,365.83796739578247,1000.7267761230469,-484.9237024784088,0.2823926508426666,428.2515335083008,871.9424629211426,-673.8562846183777,0.3052314519882202,371.31582140922546,991.4366912841797,-394.67727184295654,0.27187928557395935,554.9050569534302,1051.9681549072266,-36.193137019872665,0.9997170567512512,460.15132427215576,1054.328842163086,35.9578375518322,0.9997163414955139,610.7232213020325,1246.3014221191406,-122.62217938899994,0.9956337809562683,388.5969829559326,1232.230567932129,-34.55330282449722,0.9893801808357239,634.6468734741211,1410.4645156860352,152.60441064834595,0.9920814633369446,388.70973229408264,1400.5638885498047,272.8131330013275,0.9914312362670898,624.055323600769,1432.818374633789,166.18082463741302,0.9818120002746582,406.3726258277893,1427.3445510864258,296.46554946899414,0.9806268811225891,655.7460951805115,1477.892074584961,-91.89689040184021,0.8700815439224243,346.03628039360046,1464.3626403808594,30.761732161045074,0.9095937609672546,forehand_follow_through
3,485.7559812068939,728.071231842041,-463.4713304042816,0.9998949766159058,492.47581601142883,711.9521141052246,-435.7180953025818,0.9998959302902222,500.00311374664307,712.6833915710449,-435.7581031322479,0.9998978972434998,507.25833892822266,713.5422134399414,-435.7344460487366,0.9998963475227356,473.57441782951355,711.4349555969238,-422.82163739204407,0.9999053478240967,467.33985900878906,711.9379806518555,-422.8631579875946,0.9999103546142578,461.2113869190216,712.7988624572754,-422.8013277053833,0.9999200105667114,519.3735337257385,723.5542488098145,-242.23208785057068,0.9998804330825806,454.2161965370178,723.1994247436523,-180.70918679237366,0.9998929500579834,495.65252780914307,747.2367668151855,-389.16964530944824,0.9996998906135559,470.7065677642822,746.0624313354492,-372.2435653209686,0.9997132420539856,563.9486932754517,820.0310897827148,-196.7593914270401,0.9996563196182251,412.0677065849304,819.2495155334473,18.586481362581253,0.9997615218162537,531.9810211658478,937.2355270385742,-392.7580225467682,0.7091149687767029,361.4568364620209,928.0803108215332,-157.7613490819931,0.7713044285774231,427.64018297195435,871.3134384155273,-713.4042978286743,0.38032248616218567,342.9636597633362,935.9160232543945,-626.096785068512,0.36689329147338867,386.290465593338,855.8698654174805,-804.054765701294,0.37769049406051636,333.26454520225525,929.4628143310547,-718.542230129242,0.3450304865837097,384.4029200077057,840.4568481445312,-802.9891347885132,0.37760910391807556,340.92087864875793,908.3392524719238,-743.1949067115784,0.3428862988948822,395.4913008213043,846.7627716064453,-718.6539173126221,0.3710502088069916,342.9773712158203,909.3850708007812,-650.0842952728271,0.33184948563575745,559.1752409934998,1052.4516677856445,-45.04739597439766,0.9997368454933167,461.12486958503723,1053.5475540161133,44.690363109111786,0.9997360110282898,603.8875150680542,1249.2655563354492,-136.3838428258896,0.9959800243377686,392.94875979423523,1232.9764938354492,-21.74957424402237,0.9902480244636536,636.9839358329773,1411.0410690307617,194.60294365882874,0.9927570819854736,387.5577771663666,1401.0768127441406,306.63748383522034,0.9921267628669739,628.1648325920105,1432.481918334961,211.52525782585144,0.9771571755409241,405.4612648487091,1427.7700424194336,326.8157207965851,0.979433536529541,653.9696574211121,1479.038314819336,-39.11451727151871,0.882805585861206,343.83089303970337,1468.3562850952148,101.80968314409256,0.9182102680206299,forehand_follow_through
4,481.7892515659332,726.119441986084,-407.5912392139435,0.9999052286148071,491.38723611831665,710.6125259399414,-383.7308657169342,0.9999059438705444,498.1063950061798,711.2207221984863,-383.7661099433899,0.9999076128005981,504.8585772514343,711.9494819641113,-383.70675802230835,0.9999061822891235,470.47897696495056,710.1211738586426,-366.6307210922241,0.9999145269393921,464.21660900115967,710.5105590820312,-366.6815757751465,0.9999188780784607,458.043429851532,711.1968040466309,-366.6319441795349,0.9999275803565979,516.6044962406158,721.9347953796387,-217.77003586292267,0.9998917579650879,451.4482533931732,721.8701934814453,-138.90863299369812,0.9999027252197266,494.42216634750366,744.9983024597168,-344.8419678211212,0.9997293949127197,467.70121693611145,744.3447303771973,-322.29918122291565,0.9997413158416748,561.7702460289001,816.108226776123,-214.73196744918823,0.9996834993362427,415.89574456214905,824.2254638671875,30.314573049545288,0.9997774958610535,515.1124906539917,916.1432647705078,-428.68955969810486,0.7374649047851562,340.23488759994507,928.3649253845215,-123.9972111582756,0.7866530418395996,405.3634822368622,827.3871803283691,-696.7652249336243,0.44181182980537415,303.318829536438,902.5028800964355,-579.5937180519104,0.42610982060432434,367.4951219558716,810.7431221008301,-780.3494024276733,0.43895435333251953,289.25828218460083,897.3030281066895,-666.3264441490173,0.40341025590896606,366.2890613079071,799.2901039123535,-777.5346279144287,0.4388212561607361,298.78523111343384,883.6299705505371,-688.5444045066833,0.4014523923397064,377.0999300479889,805.2347946166992,-700.2423977851868,0.43192681670188904,305.17834067344666,884.3703460693359,-603.736367225647,0.39056146144866943,559.6806335449219,1052.0258331298828,-53.49546119570732,0.9997532963752747,462.6909363269806,1054.054183959961,53.091170489788055,0.9997532963752747,602.0765089988708,1252.6472854614258,-140.57554006576538,0.9962635636329651,389.23781633377075,1234.0184783935547,-6.644066758453846,0.990984320640564,637.0439314842224,1412.7461242675781,149.914391040802,0.9933146834373474,390.6976354122162,1402.4208068847656,295.5415713787079,0.9926782846450806,628.3213877677917,1433.6690139770508,163.86672735214233,0.9710144400596619,409.31936502456665,1429.661636352539,312.52384901046753,0.9774965643882751,655.1886892318726,1479.298095703125,-89.12362843751907,0.8941619396209717,343.24751257896423,1467.4595260620117,102.52267867326736,0.9257908463478088,forehand_follow_through
5,479.19752955436707,725.1061248779297,-388.24418663978577,0.9999136328697205,490.6790363788605,709.943733215332,-367.3279130458832,0.9999135732650757,496.82186365127563,710.0256729125977,-367.4104714393616,0.9999145865440369,503.53728890419006,710.2472877502441,-367.39264011383057,0.9999131560325623,468.4580183029175,709.4194221496582,-347.53395080566406,0.9999216794967651,462.00568556785583,709.3105888366699,-347.60122060775757,0.9999251961708069,455.68300008773804,709.5949172973633,-347.5933027267456,0.9999331831932068,514.3813419342041,719.4306564331055,-214.48778450489044,0.9999001026153564,447.6178979873657,719.8172950744629,-124.45273876190186,0.999908983707428,493.7136447429657,742.0030975341797,-330.5806088447571,0.9997546076774597,465.22005558013916,741.7392539978027,-304.9314057826996,0.9997653961181641,555.36860704422,815.7894515991211,-240.7002031803131,0.9996941089630127,410.5012536048889,821.0880088806152,59.55820843577385,0.9997833371162415,499.6966338157654,891.4037704467773,-459.9373161792755,0.7629320621490479,330.7982861995697,917.5547218322754,-100.1438382267952,0.8002365827560425,394.02581691741943,813.5372543334961,-695.2777576446533,0.4968758225440979,279.0630769729614,870.8681488037109,-564.8500442504883,0.47939440608024597,356.3818609714508,797.8277778625488,-777.998628616333,0.4935906231403351,259.0928292274475,853.2448196411133,-649.8571872711182,0.45591869950294495,351.8461060523987,782.7897834777832,-771.9100999832153,0.4933670163154602,269.3305689096451,841.867733001709,-669.2697072029114,0.4541357159614563,361.6752219200134,788.1947135925293,-696.9008588790894,0.4856581687927246,277.11708068847656,846.3076972961426,-588.7952613830566,0.4433117210865021,559.9898171424866,1051.4305114746094,-67.8540113568306,0.9997553825378418,464.53657507896423,1055.68359375,67.49354660511017,0.9997612833976746,594.6716165542603,1254.3302536010742,-154.4116187095642,0.9964844584465027,386.8448781967163,1234.3315887451172,-19.115416333079338,0.9915438890457153,639.4502592086792,1411.5757369995117,182.383673787117,0.9937312006950378,388.21489691734314,1402.1882629394531,292.9738926887512,0.9930721521377563,637.5469422340393,1431.536521911621,199.60683524608612,0.9636877775192261,407.62484192848206,1429.1349792480469,311.3543200492859,0.9754409193992615,654.5454096794128,1481.1896896362305,-28.004068583250046,0.904208779335022,340.2991318702698,1470.0423431396484,106.09254866838455,0.9323211908340454,forehand_follow_through
6,476.824289560318,724.9123764038086,-388.6213159561157,0.9999202489852905,490.3077006340027,709.6990013122559,-368.91148924827576,0.9999188184738159,495.8877146244049,709.5489692687988,-369.01764035224915,0.9999189376831055,502.3878765106201,709.4122123718262,-369.01815533638,0.9999175667762756,467.252858877182,708.6904907226562,-346.4604985713959,0.9999265074729919,460.9462344646454,708.2964706420898,-346.5233588218689,0.9999287128448486,455.4933249950409,708.4357452392578,-346.5052056312561,0.9999362230300903,512.4964034557343,718.3627510070801,-219.85436975955963,0.9999054670333862,449.7460377216339,716.1778450012207,-116.87425643205643,0.9999101161956787,492.87096977233887,740.4040718078613,-331.89751982688904,0.9997748136520386,462.7098619937897,740.7712554931641,-302.472163438797,0.9997840523719788,551.8165683746338,800.449161529541,-265.158634185791,0.9996985793113708,413.8258945941925,817.6435089111328,90.45474171638489,0.9997708201408386,487.1850621700287,867.6020622253418,-501.73786997795105,0.7861389517784119,331.5465259552002,901.1690711975098,-83.3860132098198,0.8102565407752991,369.83601450920105,794.8325157165527,-743.9917159080505,0.5466452240943909,262.4029219150543,835.9371757507324,-414.1724467277527,0.5261908769607544,332.5513243675232,776.7234992980957,-833.7387728691101,0.5431060791015625,239.5271337032318,821.6665077209473,-488.458811044693,0.5011802911758423,327.76554465293884,761.3223838806152,-825.5949425697327,0.5428177118301392,248.65857481956482,812.9758644104004,-516.2788653373718,0.49976614117622375,336.3429915904999,767.0440292358398,-745.7423400878906,0.5346154570579529,258.2223129272461,814.2392349243164,-440.28642296791077,0.4887048900127411,559.8783874511719,1050.2143478393555,-86.95371866226196,0.9997578859329224,465.9282875061035,1055.1628875732422,86.65488302707672,0.9997694492340088,586.0264492034912,1251.5056228637695,-152.66987800598145,0.996645987033844,386.98736786842346,1232.6789474487305,-12.87075899541378,0.9920357465744019,643.5493397712708,1409.219627380371,195.34012734889984,0.9940868616104126,386.7641222476959,1401.7148208618164,287.75771498680115,0.9934369921684265,643.9347410202026,1430.7952880859375,212.24338710308075,0.9581250548362732,409.11462664604187,1428.7998962402344,305.17792224884033,0.9745146632194519,652.4588871002197,1478.6106491088867,-9.71373226493597,0.9132527112960815,340.851548910141,1469.2844009399414,98.25523853302002,0.9382607936859131,forehand_follow_through
7,475.1175355911255,724.5235633850098,-392.3457455635071,0.9999264478683472,490.18712997436523,708.2283210754395,-372.9189991950989,0.9999240636825562,495.2100598812103,708.3257675170898,-373.0099904537201,0.9999234080314636,501.13807439804077,708.6202239990234,-373.0096364021301,0.9999221563339233,465.9869313240051,707.5404739379883,-348.5356593132019,0.9999314546585083,459.0299463272095,707.578010559082,-348.60315442085266,0.999932587146759,453.00665974617004,707.9724311828613,-348.5756993293762,0.9999397397041321,511.17273330688477,717.7328681945801,-227.57749021053314,0.999910295009613,448.63563537597656,714.3110847473145,-115.32950520515442,0.9999122023582458,491.9867742061615,739.9928855895996,-337.44975686073303,0.9997926950454712,460.9922933578491,740.6484031677246,-305.5750072002411,0.9998010396957397,545.8815050125122,791.9280624389648,-286.14665150642395,0.9996971487998962,418.7304747104645,816.8098640441895,96.65654271841049,0.9997524619102478,485.6522762775421,848.3785057067871,-534.9159479141235,0.8070945739746094,330.89030742645264,885.3726196289062,-42.8149639070034,0.8196359276771545,357.4636173248291,778.5014533996582,-760.5154323577881,0.5913916826248169,260.5897754430771,806.8863487243652,-443.75696539878845,0.5676955580711365,317.1824276447296,756.9355201721191,-850.6578683853149,0.5875980854034424,242.0058971643448,788.6124801635742,-520.612907409668,0.5405209064483643,317.85090923309326,754.3639183044434,-840.9336161613464,0.5872474908828735,249.69813466072083,777.905445098877,-544.0251159667969,0.5392851829528809,327.5300359725952,758.2162857055664,-761.8984222412109,0.5785011649131775,257.4913090467453,781.973705291748,-468.95156621932983,0.5280600786209106,556.633472442627,1049.4978332519531,-104.17416840791702,0.9997653961181641,466.7738914489746,1055.0030136108398,103.8010784983635,0.9997811317443848,576.8593454360962,1251.5325164794922,-167.39523768424988,0.9968037009239197,386.13165736198425,1232.2749710083008,-21.133409813046455,0.9923648834228516,652.150604724884,1408.0313873291016,181.51637613773346,0.9944583177566528,386.17098927497864,1402.9594802856445,275.9132730960846,0.9937089681625366,659.8722124099731,1429.7768783569336,202.82873690128326,0.953515887260437,408.017098903656,1429.9645614624023,292.35034346580505,0.9734553694725037,651.0594177246094,1480.975341796875,-27.137684226036072,0.9214556813240051,341.93262934684753,1469.1002655029297,74.90921348333359,0.9435357451438904,forehand_follow_through
8,470.6334400177002,721.7749786376953,-403.1104588508606,0.9999319911003113,486.85553669929504,704.578857421875,-382.72481203079224,0.9999285936355591,494.26210284233093,704.860782623291,-382.8392994403839,0.9999274611473083,500.5424952507019,705.5293464660645,-382.853364944458,0.9999260306358337,462.0996379852295,704.0871620178223,-354.5243453979492,0.9999358654022217,454.9226903915405,704.1114234924316,-354.5756185054779,0.9999359846115112,448.65456104278564,704.4292831420898,-354.53171610832214,0.9999427199363708,509.361469745636,715.1400947570801,-238.3426058292389,0.9999141097068787,445.66752433776855,710.181941986084,-106.96740210056305,0.9999127388000488,487.5737464427948,738.4173774719238,-348.33330273628235,0.999805748462677,456.79948568344116,738.7526321411133,-310.6124532222748,0.9998131990432739,539.1312861442566,784.6154594421387,-311.3361668586731,0.9996786117553711,423.0981516838074,813.0186080932617,119.33923602104187,0.9997068047523499,457.69787549972534,827.7277565002441,-573.9857339859009,0.8258926272392273,339.4416832923889,869.897632598877,22.365650162100792,0.8227975964546204,334.6218502521515,756.0641098022461,-777.8928637504578,0.6314535140991211,272.87779569625854,784.767894744873,-355.4319727420807,0.6032034754753113,297.77074456214905,746.663761138916,-866.9551849365234,0.6273215413093567,256.45273089408875,764.5981979370117,-424.8200011253357,0.5733861327171326,297.54788517951965,736.8106842041016,-854.6224737167358,0.6269011497497559,261.053711771965,752.9923439025879,-448.4594464302063,0.5722485184669495,308.65206956863403,741.1110877990723,-778.3480453491211,0.6173513531684875,268.7585985660553,756.8703460693359,-379.58688497543335,0.5604587197303772,552.7226829528809,1049.3561553955078,-122.37336158752441,0.9997749924659729,466.5826714038849,1054.9277114868164,121.94006681442261,0.9997943043708801,573.1413531303406,1252.126808166504,-178.72482419013977,0.9968962669372559,388.49562764167786,1231.3981246948242,-56.79928958415985,0.9926217794418335,660.9930109977722,1406.2311172485352,175.53494811058044,0.9947915077209473,387.36700773239136,1405.0989532470703,202.84452438354492,0.9939519166946411,675.0678491592407,1418.188705444336,198.74528288841248,0.948184609413147,409.3050420284271,1432.034568786621,217.32301354408264,0.9724944233894348,649.2070198059082,1482.718391418457,-22.69661396741867,0.92882239818573,343.124463558197,1469.4060516357422,13.140832968056202,0.9483970403671265,forehand_follow_through
9,460.03571033477783,719.6427154541016,-392.71469950675964,0.9999366998672485,476.3091444969177,701.4070701599121,-377.23028540611267,0.9999324679374695,484.74236369132996,701.3805770874023,-377.3231112957001,0.9999310374259949,493.36355209350586,701.4840316772461,-377.3436141014099,0.9999296069145203,454.04226064682007,701.9098663330078,-345.05793929100037,0.9999393820762634,448.02119493484497,702.0279121398926,-345.09196043014526,0.9999383687973022,443.0630564689636,702.0322036743164,-345.03434658050537,0.9999446272850037,507.42129921913147,710.7469940185547,-249.3362295627594,0.9999183416366577,443.4606885910034,707.2027015686035,-99.59422945976257,0.9999094605445862,476.05889439582825,736.5053558349609,-343.5594642162323,0.9998173117637634,449.87224102020264,737.186450958252,-300.6150984764099,0.9998213648796082,532.9846286773682,780.5414772033691,-338.14974904060364,0.9996695518493652,430.8516561985016,809.8670196533203,141.3547432422638,0.999626636505127,424.91227984428406,811.6675758361816,-579.84219789505,0.8428512215614319,345.67482590675354,846.0475730895996,44.24137741327286,0.8138508200645447,313.67812156677246,751.3248825073242,-715.0975656509399,0.6670386791229248,287.29265213012695,755.7043647766113,-333.596066236496,0.6234242916107178,288.49819779396057,739.581241607666,-794.8118305206299,0.6621496677398682,275.0929355621338,735.9033966064453,-397.796756029129,0.5874952077865601,290.53293228149414,730.4123497009277,-782.8242230415344,0.661635160446167,280.75212836265564,727.4678421020508,-414.9254822731018,0.585605263710022,297.10126519203186,734.747142791748,-713.8451886177063,0.6506484150886536,285.5106782913208,732.5795745849609,-356.02558851242065,0.5734977722167969,548.0586004257202,1049.7082901000977,-138.1616485118866,0.9997878670692444,466.7952311038971,1055.478744506836,137.6172298192978,0.999807596206665,565.5249953269958,1253.1929397583008,-182.59885668754578,0.9970064759254456,387.543808221817,1229.875373840332,-9.555751830339432,0.992661714553833,667.524425983429,1404.5090103149414,146.81104838848114,0.9951555728912354,387.6197361946106,1405.9101104736328,253.81081402301788,0.9941763281822205,685.7899475097656,1411.6359329223633,168.95586490631104,0.9461386203765869,411.05573058128357,1432.5394821166992,267.6317811012268,0.972079873085022,650.3053522109985,1487.138557434082,-40.22549495100975,0.9355835318565369,338.7397599220276,1468.5372161865234,43.74756798148155,0.952842652797699,forehand_follow_through
10,457.1386671066284,716.2495994567871,-348.7163543701172,0.9999419450759888,473.471839427948,699.0456962585449,-330.6442415714264,0.9999380111694336,481.7846488952637,699.2299461364746,-330.7228410243988,0.9999364018440247,490.4520571231842,699.5217704772949,-330.7257378101349,0.9999351501464844,451.76072001457214,699.4432640075684,-301.5014183521271,0.9999442100524902,445.47549962997437,699.5719528198242,-301.520311832428,0.9999428391456604,440.3640568256378,699.254322052002,-301.44052147865295,0.9999486804008484,503.7983214855194,709.3044090270996,-206.02348923683167,0.9999253749847412,439.6630346775055,705.0486373901367,-70.65557330846786,0.9999152421951294,471.26577615737915,734.0674781799316,-300.6813383102417,0.9998334050178528,446.32396817207336,735.0148773193359,-262.0818454027176,0.9998360872268677,521.1258637905121,779.7199630737305,-313.8315546512604,0.9996822476387024,431.86878204345703,805.7632255554199,141.52583062648773,0.9996049404144287,411.7334175109863,796.4734268188477,-613.4128546714783,0.8581957221031189,349.83489990234375,797.7944755554199,-113.10227930545807,0.807650625705719,311.5933692455292,758.0180168151855,-716.2146949768066,0.6979025602340698,308.61531257629395,722.8741264343262,-587.662103176117,0.6368443369865417,285.88935256004333,743.9370346069336,-795.4068946838379,0.6906819939613342,293.9040184020996,710.9125900268555,-666.1183905601501,0.5941095948219299,284.72822427749634,738.8089370727539,-771.529655456543,0.6899889707565308,297.51148223876953,715.5150604248047,-662.5626826286316,0.5906977653503418,293.2056999206543,744.1740989685059,-711.0411643981934,0.67625492811203,305.0099730491638,718.6259651184082,-606.0066103935242,0.5788835883140564,544.9841451644897,1050.3570556640625,-138.11872780323029,0.9998053908348083,466.1809837818146,1055.9227752685547,137.53666698932648,0.9998236894607544,559.1968059539795,1252.565689086914,-180.04155814647675,0.9971521496772766,386.55542492866516,1229.040298461914,22.663473933935165,0.9926084876060486,673.4819555282593,1402.0428085327148,143.5832244157791,0.9955021739006042,388.6804747581482,1406.883316040039,292.30512142181396,0.9942966103553772,695.4916048049927,1407.0023345947266,164.91809964179993,0.9454113841056824,411.38731598854065,1432.898941040039,307.3155891895294,0.9711516499519348,651.7995142936707,1486.7643356323242,-45.22276014089584,0.9417417645454407,339.8965108394623,1467.6583099365234,106.22437655925751,0.9567942023277283,forehand_follow_through
