frame,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,shot
1,523.4014177322388,712.2114372253418,-149.03460502624512,0.9996845126152039,515.4597187042236,695.6331825256348,-128.47022652626038,0.9996445775032043,513.2838785648346,695.0194931030273,-128.53776186704636,0.9996396899223328,510.80416560173035,694.4229698181152,-128.5527527332306,0.9996554851531982,516.0926985740662,695.9644889831543,-187.63602912425995,0.9996919631958008,515.2467727661133,695.7106590270996,-187.6592195034027,0.9996877908706665,516.4172995090485,695.5448341369629,-187.6973444223404,0.999713122844696,488.09136986732483,699.3762588500977,-17.101920917630196,0.9994443655014038,504.13331866264343,701.5310096740723,-283.19514870643616,0.9996272325515747,515.6739521026611,727.4553680419922,-100.426926612854,0.9994841814041138,516.0051834583282,727.6258277893066,-177.7387100458145,0.9995797276496887,448.4960103034973,775.4238510131836,213.27556014060974,0.9995447993278503,470.16255140304565,790.3237724304199,-416.8898570537567,0.9995627403259277,449.32204484939575,902.0879173278809,287.6270377635956,0.7574038505554199,466.4437222480774,927.0014762878418,-476.24847292900085,0.8727312684059143,513.6759746074677,948.9093017578125,146.28743827342987,0.1290673464536667,544.9835658073425,985.7440567016602,-374.8676347732544,0.2450711876153946,528.4011733531952,958.6041069030762,138.67671310901642,0.1161712184548378,545.3678727149963,995.7475662231445,-416.71473026275635,0.20274871587753296,536.5476751327515,949.9465370178223,96.20386362075806,0.11472547799348831,547.2852873802185,980.9762191772461,-400.07488489151,0.19865022599697113,532.7576816082001,945.8593368530273,120.37851423025131,0.11113020777702332,543.683488368988,976.7099761962891,-364.334020614624,0.1897764652967453,440.08857250213623,1003.3304214477539,193.60120296478271,0.9990696310997009,437.2340154647827,1017.0888519287109,-193.65054488182068,0.9994074702262878,460.5946934223175,1150.7797622680664,517.4822545051575,0.9215221405029297,472.3737967014313,1190.0153732299805,-169.28630769252777,0.9713745713233948,445.7637298107147,1279.3572235107422,848.7859654426575,0.9426037073135376,428.4468412399292,1367.8368759155273,-143.90191912651062,0.9709067940711975,425.1001846790314,1311.6003799438477,876.2139558792114,0.9483667016029358,409.9493193626404,1392.872200012207,-149.9880015850067,0.97026127576828,513.5436880588531,1307.0088958740234,842.669370174408,0.7374554872512817,503.27725410461426,1412.127571105957,-298.08417677879333,0.8090061545372009,neutral
2,519.4666814804077,708.720760345459,-150.27806639671326,0.9996665716171265,511.2346923351288,692.5690269470215,-131.705002784729,0.9995990991592407,508.8838863372803,691.6282081604004,-131.7871668934822,0.9995898008346558,506.46143317222595,690.6199264526367,-131.81791305541992,0.9996185302734375,512.0095825195312,693.6935234069824,-189.17299926280975,0.9996617436408997,511.2021839618683,693.731689453125,-189.19855535030365,0.9996479749679565,513.3863604068756,693.7986946105957,-189.26270306110382,0.9996803402900696,484.85350370407104,694.9760055541992,-28.7764623016119,0.999276340007782,494.0391790866852,699.4616317749023,-287.8968572616577,0.9995678663253784,511.62160634994507,723.281192779541,-104.79927062988281,0.9994065761566162,512.039966583252,723.6032295227051,-179.9527072906494,0.9995527267456055,439.3206024169922,765.4875755310059,189.51095759868622,0.9995282888412476,467.61003255844116,785.9562492370605,-410.5579662322998,0.9996032118797302,443.07193994522095,883.1453704833984,275.5252003669739,0.6877617835998535,467.5474941730499,917.5294303894043,-449.1661012172699,0.8833179473876953,527.1043145656586,925.1541137695312,144.01764571666718,0.13093353807926178,541.9051194190979,975.8173370361328,-341.9767892360687,0.31372183561325073,549.4412684440613,924.5926094055176,133.73281717300415,0.12293526530265808,547.0257353782654,987.5495910644531,-382.48727560043335,0.27373191714286804,554.9502468109131,919.1722297668457,88.88740360736847,0.12250429391860962,551.7457580566406,976.9129943847656,-371.69140577316284,0.26946452260017395,546.6479301452637,918.0522537231445,117.28595405817032,0.11895943433046341,547.1024036407471,970.9397506713867,-333.77978682518005,0.2560322880744934,436.64027094841003,995.9081268310547,198.07976245880127,0.9988909959793091,431.10300064086914,1012.0206069946289,-198.13425421714783,0.9994144439697266,466.4623260498047,1135.6923294067383,511.5864908695221,0.8759102821350098,466.3857865333557,1180.1462173461914,-156.60501658916473,0.9733777046203613,459.24875020980835,1261.3822174072266,826.4397740364075,0.9208375811576843,415.2394938468933,1355.603256225586,-105.04668027162552,0.9726266860961914,432.6548409461975,1295.2690887451172,852.3185634613037,0.9231597185134888,395.35547375679016,1378.9704895019531,-108.53861063718796,0.9681381583213806,526.7477524280548,1298.151741027832,821.111490726471,0.7489332556724548,494.9435555934906,1392.5081634521484,-240.0841212272644,0.8265034556388855,neutral
3,517.2885239124298,706.6614532470703,-123.68038326501846,0.9996813535690308,507.99508810043335,691.1679840087891,-108.58432352542877,0.9996108412742615,505.3073537349701,690.2859306335449,-108.66436332464218,0.9995993375778198,502.6320433616638,689.3617057800293,-108.70302736759186,0.9996302127838135,509.69199299812317,692.5115776062012,-164.9880087375641,0.9996742010116577,509.0341651439667,692.7071571350098,-165.01998603343964,0.9996577501296997,511.82106614112854,692.9207038879395,-165.06876468658447,0.9996901154518127,482.29251980781555,694.9251365661621,-19.993757978081703,0.9992643594741821,491.03302359580994,699.3682479858398,-273.6926293373108,0.9995801448822021,509.08170461654663,721.3719749450684,-83.40378016233444,0.9994246363639832,510.34682750701904,721.7804145812988,-156.90222680568695,0.9995743632316589,434.29982900619507,769.3732452392578,181.08522176742554,0.999550461769104,468.2568848133087,789.4778251647949,-396.3597571849823,0.999640941619873,460.1790690422058,884.20166015625,277.84597635269165,0.6277613639831543,473.53482842445374,920.8129119873047,-401.2440598011017,0.8928176164627075,543.6211109161377,904.9907684326172,183.85818600654602,0.14303985238075256,539.9794328212738,969.0438079833984,-250.63353896141052,0.3764367699623108,565.8491778373718,903.3365249633789,173.01255583763123,0.14069858193397522,547.984185218811,980.928955078125,-283.69165778160095,0.3389279246330261,568.3719563484192,891.3358497619629,129.60731148719788,0.14193500578403473,551.8021488189697,970.7933807373047,-282.67807245254517,0.3346421420574188,561.5016174316406,893.6687850952148,158.02870631217957,0.13852685689926147,547.089593410492,963.8404083251953,-245.64065515995026,0.31835848093032837,434.7974646091461,999.5349884033203,195.50413370132446,0.9988787174224854,433.5677146911621,1016.7090225219727,-195.47645330429077,0.9994447231292725,465.5877220630646,1141.8944549560547,510.12715458869934,0.8420319557189941,463.925803899765,1182.2331619262695,-153.30662369728088,0.9753715991973877,453.28304529190063,1268.4019088745117,813.2194232940674,0.9095552563667297,413.68115186691284,1351.7525482177734,-98.42908591032028,0.974473237991333,436.56846284866333,1299.3341445922852,838.0195784568787,0.9085133075714111,395.0525665283203,1378.4975051879883,-100.39652645587921,0.966940701007843,525.0204956531525,1300.3739547729492,806.6349649429321,0.7635565996170044,491.41597867012024,1388.4990692138672,-230.76546728610992,0.842536985874176,neutral
4,521.0684108734131,704.1307640075684,-196.08633935451508,0.9996904134750366,511.7118573188782,689.3386459350586,-178.1938272714615,0.999617874622345,509.47824239730835,688.6495399475098,-178.26930463314056,0.9996044039726257,507.13255405426025,687.9153442382812,-178.3067536354065,0.9996373057365417,511.3891875743866,690.7902717590332,-236.55060589313507,0.9996822476387024,509.55143451690674,691.1894989013672,-236.594717502594,0.9996642470359802,510.33198952674866,691.5891265869141,-236.6387003660202,0.9996973276138306,484.0825080871582,694.8514366149902,-70.45773088932037,0.9992520809173584,488.9616930484772,698.913631439209,-333.8715183734894,0.9995923638343811,512.5216698646545,719.8125457763672,-148.58738958835602,0.9994336366653442,512.0614671707153,720.3491592407227,-224.78907644748688,0.999592125415802,440.905659198761,771.8795585632324,147.71479725837708,0.9995615482330322,466.4429175853729,791.4288711547852,-442.13759779930115,0.9996744394302368,465.91251611709595,885.6757164001465,256.6111207008362,0.5709679126739502,467.76967763900757,924.8464965820312,-450.91981530189514,0.9008424282073975,545.7868123054504,903.0860137939453,143.7014937400818,0.14979566633701324,538.7248027324677,969.455451965332,-312.18045115470886,0.4317765235900879,566.1761927604675,902.4517822265625,132.49914854764938,0.15296843647956848,546.8601036071777,983.4482574462891,-350.52842259407043,0.3964013159275055,571.5468978881836,890.3530311584473,87.31065094470978,0.15548941493034363,550.1019287109375,973.7163162231445,-345.83218574523926,0.39192190766334534,560.7398915290833,898.018798828125,117.07646012306213,0.15173350274562836,546.0863399505615,966.0492324829102,-305.9574794769287,0.37222620844841003,433.9889073371887,998.917236328125,193.4176915884018,0.9987894892692566,430.63764810562134,1015.8272552490234,-193.347846865654,0.9994560480117798,463.96114468574524,1146.5715408325195,513.8512623310089,0.8076099157333374,460.5057942867279,1180.9026718139648,-145.93610644340515,0.9769307374954224,449.6469032764435,1274.7486877441406,823.0740308761597,0.8948564529418945,413.7402141094208,1349.8798370361328,-90.39870500564575,0.9756895899772644,435.8486759662628,1304.3096923828125,848.1809234619141,0.8925580382347107,397.0794475078583,1378.3251571655273,-93.69540810585022,0.9648909568786621,522.0154988765717,1303.2772064208984,811.8072080612183,0.7744925618171692,492.0466089248657,1387.9267501831055,-222.2468250989914,0.8563975095748901,neutral
5,518.7214350700378,704.457836151123,-177.35309958457947,0.9997041821479797,509.75128054618835,689.7005081176758,-160.64258873462677,0.9996323585510254,507.463173866272,689.0957450866699,-160.72500228881836,0.999617874622345,505.0042533874512,688.4726715087891,-160.75918436050415,0.9996508955955505,509.8505437374115,691.0159492492676,-215.84216058254242,0.9996955394744873,508.467618227005,691.3996696472168,-215.86922943592072,0.9996765851974487,509.45175290107727,691.7947769165039,-215.90679109096527,0.9997090697288513,482.85118103027344,695.6084632873535,-59.22991007566452,0.9992626309394836,485.89048862457275,699.2643928527832,-307.9806911945343,0.9996089935302734,510.5871319770813,719.9692153930664,-132.37686395645142,0.9994533061981201,510.5461263656616,720.5330085754395,-204.41517770290375,0.9996137619018555,441.92761301994324,773.1896209716797,148.01374554634094,0.9995763301849365,465.7296323776245,792.7606201171875,-416.0025715827942,0.9997051954269409,466.1164176464081,886.6934394836426,240.3124040365219,0.5200027823448181,472.32941150665283,923.6995124816895,-421.18476033210754,0.9078493118286133,544.9132061004639,903.5240364074707,117.54995584487915,0.15587078034877777,532.3729884624481,969.9652862548828,-282.4177157878876,0.48093801736831665,560.8424377441406,911.2048530578613,104.29622769355774,0.16362394392490387,545.8705615997314,984.4062423706055,-317.5370264053345,0.4475610852241516,567.6894092559814,897.4546051025391,61.537268310785294,0.16718381643295288,547.265202999115,974.600830078125,-314.1436994075775,0.442880779504776,557.3615956306458,899.967155456543,91.72148197889328,0.16317322850227356,544.9343848228455,967.1855163574219,-276.68694019317627,0.4203302562236786,433.8530158996582,996.40869140625,188.23091626167297,0.9987383484840393,426.14508748054504,1013.5982894897461,-188.15992891788483,0.9994800686836243,461.18187189102173,1143.5383987426758,517.276132106781,0.7745752334594727,459.02682423591614,1178.877296447754,-153.78000676631927,0.9783647060394287,447.64866828918457,1268.858871459961,826.5117430686951,0.8783919811248779,409.82343792915344,1350.1118087768555,-113.75082939863205,0.97661954164505,434.64696049690247,1302.3645401000977,852.0482611656189,0.8748497366905212,393.6537730693817,1377.0281982421875,-117.53284066915512,0.9627065658569336,519.1484534740448,1297.1643447875977,822.6657128334045,0.7821493744850159,487.02290654182434,1385.089988708496,-254.24084186553955,0.8686878085136414,neutral
6,518.6871242523193,704.6650314331055,-197.2985315322876,0.9997208118438721,509.98077034950256,689.9988555908203,-180.36660969257355,0.9996483325958252,507.65066027641296,689.4400978088379,-180.4389488697052,0.9996327757835388,505.10499715805054,688.8777923583984,-180.46785235404968,0.9996663331985474,509.62668657302856,691.215705871582,-237.547647356987,0.9997117519378662,507.93959856033325,691.5753364562988,-237.57674396038055,0.9996925592422485,509.1797125339508,691.9565963745117,-237.6261019706726,0.9997242093086243,482.6320230960846,696.1765480041504,-75.51821440458298,0.9992840886116028,484.95659708976746,699.5348167419434,-333.7150275707245,0.9996281266212463,509.80055809020996,720.1337242126465,-150.66266298294067,0.9994792342185974,509.72453355789185,720.6569480895996,-225.45303583145142,0.999638020992279,443.0796003341675,770.7992935180664,135.98479449748993,0.9995919466018677,461.9411516189575,793.4530448913574,-436.35513067245483,0.9997328519821167,470.5244243144989,878.1001853942871,249.7885948419571,0.4763510823249817,463.3250105381012,925.3679466247559,-455.8854854106903,0.9149366617202759,545.379331111908,899.7195053100586,170.08868515491486,0.17120607197284698,528.7594735622406,971.6572952270508,-343.9065957069397,0.5274975299835205,564.2574906349182,903.1391143798828,162.53892123699188,0.18308992683887482,545.6473159790039,985.3118133544922,-385.99364161491394,0.4960450232028961,568.5416436195374,890.9742164611816,118.79525184631348,0.18783918023109436,545.551335811615,976.2555313110352,-383.2603633403778,0.49127042293548584,558.5199236869812,892.3195266723633,145.43464064598083,0.18290437757968903,544.6494054794312,969.426383972168,-339.0386116504669,0.46652457118034363,433.4668743610382,996.7266082763672,187.77827739715576,0.9987313747406006,424.29104804992676,1014.8904418945312,-187.73041605949402,0.9995045065879822,459.27958488464355,1141.8577194213867,538.7060701847076,0.752680242061615,456.0144245624542,1178.950080871582,-131.0140711069107,0.9799003005027771,446.655650138855,1265.306282043457,868.1533598899841,0.8690494298934937,408.81468057632446,1352.6235580444336,-58.05016189813614,0.9780072569847107,433.69221210479736,1293.2806777954102,895.953619480133,0.8646134734153748,393.3024573326111,1379.2292404174805,-58.77425774931908,0.962486743927002,514.9397456645966,1296.8862533569336,864.131977558136,0.793250560760498,486.1602759361267,1387.4568557739258,-225.2671104669571,0.8804803490638733,neutral
7,517.4638760089874,704.9649238586426,-201.85475707054138,0.9997351765632629,508.4379744529724,690.1584434509277,-184.66296136379242,0.9996606111526489,506.0484480857849,689.5959663391113,-184.73637878894806,0.9996442198753357,503.4573698043823,689.0253067016602,-184.76576507091522,0.9996782541275024,508.81693840026855,691.5608024597168,-242.35639214515686,0.9997245669364929,507.8940546512604,692.0226287841797,-242.3844426870346,0.9997048377990723,507.1725296974182,692.4962997436523,-242.4381458759308,0.9997352957725525,481.65014147758484,696.6591453552246,-78.59076261520386,0.9992981553077698,483.1077718734741,700.3106689453125,-339.5152938365936,0.9996424317359924,509.06371235847473,720.9478569030762,-154.68787550926208,0.9995009303092957,509.0955448150635,721.4821815490723,-230.30645549297333,0.9996588230133057,444.20809149742126,772.5473213195801,130.04887014627457,0.9996089339256287,459.27279353141785,793.9772415161133,-440.47844767570496,0.9997575879096985,472.6918959617615,881.2267684936523,253.5509079694748,0.4386095702648163,457.51235246658325,926.3311958312988,-461.4658212661743,0.9214383959770203,546.4984560012817,899.209156036377,165.35376012325287,0.192485049366951,525.6984722614288,973.1058883666992,-355.65817952156067,0.5701746940612793,567.2501921653748,902.6444435119629,157.4624651670456,0.20785480737686157,543.0317115783691,986.9498062133789,-398.6883223056793,0.5405609011650085,568.8218593597412,891.1474800109863,111.72627389431,0.2139013260602951,544.6785664558411,977.9579544067383,-395.4586958885193,0.5357804298400879,560.6701111793518,892.0944786071777,140.01361191272736,0.20769058167934418,543.275363445282,970.9786605834961,-350.74687242507935,0.5093927383422852,432.49194502830505,998.8125228881836,188.0509454011917,0.9987207055091858,423.45500349998474,1015.8122634887695,-188.01903247833252,0.9995248317718506,457.9939270019531,1145.768051147461,531.9345760345459,0.7313898205757141,455.42930603027344,1179.8295593261719,-125.87341099977493,0.9812250137329102,446.46140456199646,1272.9878997802734,856.6352891921997,0.8608624935150146,407.4433100223541,1353.9704132080078,-50.3474235534668,0.9792153835296631,433.28765988349915,1296.0992431640625,883.9495325088501,0.8562225699424744,390.63496828079224,1381.1108779907227,-50.29185354709625,0.9619827270507812,517.167534828186,1298.390121459961,850.2851486206055,0.803024172782898,484.135422706604,1393.5765838623047,-214.238982796669,0.8909836411476135,neutral
8,516.0571324825287,707.2077369689941,-196.549551486969,0.9997400641441345,507.1731412410736,692.255916595459,-180.1339817047119,0.9996575117111206,504.6313726902008,691.6177368164062,-180.21583199501038,0.9996395707130432,501.92458391189575,690.9318351745605,-180.25944471359253,0.9996770620346069,508.29683661460876,693.6936378479004,-236.0496550798416,0.9997245073318481,506.25988125801086,694.1312599182129,-236.07179939746857,0.9997014999389648,504.1095006465912,694.5967483520508,-236.12590491771698,0.999731719493866,481.01329922676086,698.1271362304688,-79.62080329656601,0.9992812275886536,481.42728209495544,702.5767135620117,-332.36615538597107,0.9996346831321716,507.8164207935333,723.7632179260254,-151.47833347320557,0.9995034337043762,508.299765586853,724.2665863037109,-224.68067228794098,0.9996669888496399,442.37812757492065,773.726634979248,121.16026818752289,0.9996284246444702,457.06470251083374,796.0675048828125,-428.867164850235,0.999779224395752,470.2064859867096,882.9977989196777,253.73192489147186,0.40758875012397766,451.75177216529846,927.9013824462891,-444.63041067123413,0.9275868535041809,546.4967179298401,899.6908950805664,165.4535061120987,0.22425337135791779,524.9786853790283,973.9740371704102,-343.3945405483246,0.6099998354911804,567.3397350311279,902.9915428161621,157.0661848783493,0.24267297983169556,541.4301109313965,987.5093078613281,-384.7496008872986,0.5823200345039368,568.177227973938,891.7608833312988,111.71474307775497,0.2497926503419876,544.28466796875,978.0815505981445,-384.56613779067993,0.5777216553688049,559.9926495552063,892.4459266662598,140.89264154434204,0.24207507073879242,541.2408542633057,971.5673446655273,-339.6082806587219,0.5508762001991272,428.4682774543762,999.7079086303711,184.9171543121338,0.9986951351165771,420.0229561328888,1017.2198867797852,-184.9060982465744,0.9995351433753967,456.7625677585602,1143.175277709961,515.6187844276428,0.7045003771781921,453.74974966049194,1181.5563583374023,-127.48265594244003,0.9819004535675049,445.0752282142639,1269.2144393920898,833.68328332901,0.8437665700912476,404.1758644580841,1353.5289001464844,-53.822407722473145,0.9794646501541138,432.4758839607239,1293.0147171020508,860.4853749275208,0.8405976891517639,386.40698075294495,1381.9221496582031,-53.8017238676548,0.9595237970352173,511.9098365306854,1295.7109451293945,831.3442897796631,0.8053091168403625,479.54453229904175,1396.6196823120117,-209.9177348613739,0.8992916345596313,neutral
9,515.2125906944275,708.8797187805176,-216.5124124288559,0.9997341632843018,506.4654564857483,693.4111976623535,-199.84319686889648,0.9996357560157776,503.9925992488861,692.6942253112793,-199.91440951824188,0.9996141791343689,501.35781168937683,691.9401741027832,-199.95145618915558,0.9996576905250549,508.1771993637085,694.8804473876953,-257.35110461711884,0.9997093081474304,505.3114092350006,695.2632522583008,-257.3756468296051,0.9996818900108337,502.3174524307251,695.7010459899902,-257.4459582567215,0.9997140765190125,480.5554139614105,698.3465194702148,-93.37553054094315,0.9991982579231262,480.09334444999695,702.898063659668,-353.6908757686615,0.9996085166931152,507.0012331008911,725.4772567749023,-168.83008003234863,0.9994877576828003,507.3084855079651,726.2323951721191,-244.25938725471497,0.9996673464775085,440.69557785987854,773.6079025268555,115.3460168838501,0.9996386170387268,452.16710686683655,796.0640716552734,-451.34039640426636,0.9997986555099487,465.87363481521606,885.0910377502441,236.89598321914673,0.3778349757194519,448.8675391674042,928.3516502380371,-473.94617199897766,0.9331642389297485,542.9056692123413,903.4467887878418,126.1660185456276,0.245365709066391,523.9106404781342,974.5393753051758,-374.9935805797577,0.6459128856658936,562.8248047828674,907.6824760437012,114.93710339069366,0.2668764293193817,540.3369283676147,987.4564361572266,-418.06273341178894,0.6199997067451477,565.3945112228394,896.6574096679688,68.00923079252243,0.27509045600891113,544.0073490142822,977.8876876831055,-414.57542181015015,0.615559995174408,557.3411893844604,897.077808380127,100.09750574827194,0.2659643888473511,539.4290113449097,971.7546844482422,-369.75213646888733,0.5881696343421936,426.467467546463,998.5799789428711,187.86567986011505,0.9985803365707397,418.9587092399597,1015.5841827392578,-187.92059004306793,0.9995220303535461,455.98899722099304,1146.5105438232422,495.00850796699524,0.6874569654464722,450.5115294456482,1181.5985870361328,-138.40497851371765,0.9827587604522705,444.4228720664978,1274.6682357788086,792.8693747520447,0.8371747136116028,402.43743896484375,1356.4496612548828,-55.447496473789215,0.9802570343017578,431.5817105770111,1294.848289489746,817.041699886322,0.834187924861908,385.490083694458,1383.0017852783203,-54.95060920715332,0.9587644338607788,511.42221093177795,1301.326560974121,779.984986782074,0.812493622303009,475.8978009223938,1398.6243438720703,-208.13761174678802,0.9075276255607605,neutral
10,514.8034679889679,712.5023460388184,-196.7738914489746,0.9997450113296509,506.3808059692383,696.0586738586426,-180.16798675060272,0.9996452927589417,503.64781737327576,695.3448486328125,-180.2327299118042,0.9996222257614136,500.8124113082886,694.6294784545898,-180.26813507080078,0.9996665716171265,505.84824800491333,697.5049781799316,-235.3354847431183,0.999718964099884,502.4622595310211,697.8457260131836,-235.34686267375946,0.99969083070755,499.043505191803,698.2370567321777,-235.3960758447647,0.9997224807739258,480.50410866737366,700.946102142334,-77.52291083335876,0.9992092847824097,478.24039936065674,705.2023315429688,-327.015438079834,0.9996197819709778,506.46928668022156,729.4535636901855,-150.97562849521637,0.9995052218437195,506.14697098731995,730.4865646362305,-223.3119249343872,0.9996837973594666,439.9011504650116,776.0872650146484,122.13978409767151,0.9996528625488281,451.58926248550415,797.5776100158691,-426.3923764228821,0.9998165965080261,466.7247426509857,885.9752082824707,243.1594294309616,0.3525905907154083,445.1229929924011,928.6089134216309,-448.64168643951416,0.9381768703460693,543.8515019416809,899.2705535888672,153.11659455299377,0.2696699798107147,519.0410792827606,976.4334869384766,-355.7331097126007,0.6777764558792114,565.5585980415344,901.0475921630859,144.84240889549255,0.2935367822647095,535.5243372917175,989.6230316162109,-397.62893557548523,0.6532074213027954,565.51926612854,896.2685394287109,100.26565611362457,0.3026238977909088,540.2802801132202,978.1773376464844,-394.15398359298706,0.6488133668899536,556.6707444190979,897.1353721618652,128.73463064432144,0.29212790727615356,534.729620218277,971.975212097168,-350.79901456832886,0.6207756996154785,423.09000849723816,999.8320770263672,184.6359246969223,0.9985347390174866,415.8805847167969,1016.3990020751953,-184.65594470500946,0.99952232837677,455.6099045276642,1144.8758697509766,482.50073432922363,0.6655595302581787,447.71931767463684,1182.4048233032227,-139.99623119831085,0.983336329460144,443.77814412117004,1276.6669464111328,765.7123303413391,0.8234230279922485,399.7607123851776,1357.0956802368164,-66.44796788692474,0.9805102944374084,429.9342441558838,1294.3018341064453,788.8150334358215,0.8227623105049133,383.75680804252625,1383.2176208496094,-65.98288893699646,0.9573154449462891,509.30408120155334,1302.176856994629,755.429835319519,0.8142641186714172,473.82994651794434,1399.9753189086914,-208.5679453611374,0.914261519908905,neutral
