frame,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,shot
2,456.22093319892883,722.1140670776367,-506.9662141799927,0.9998645186424255,445.5965530872345,707.1649932861328,-477.3691427707672,0.9997431635856628,445.686514377594,706.7234230041504,-477.4247610569,0.9997578859329224,445.58921456336975,706.468677520752,-477.5255048274994,0.999749481678009,438.5864281654358,709.4126129150391,-532.7530467510223,0.9997970461845398,433.55709314346313,710.4059600830078,-532.8270757198334,0.9998509287834167,427.9763066768646,711.6728782653809,-532.9180991649628,0.9998786449432373,427.0921754837036,717.7935218811035,-304.55350399017334,0.9995807409286499,406.15382194519043,724.1109466552734,-550.4457449913025,0.9997820258140564,457.47472643852234,740.6827926635742,-436.0136640071869,0.9998204708099365,448.85199308395386,741.8264579772949,-507.5171184539795,0.9997470378875732,437.29623198509216,822.8440475463867,-62.15244501829147,0.9998234510421753,352.61993408203125,834.9965286254883,-592.3534154891968,0.9998854994773865,430.1756751537323,932.358455657959,69.4666600227356,0.9382602572441101,322.68606305122375,983.5670471191406,-608.1132173538208,0.6799373626708984,501.6932272911072,956.2158966064453,-108.91645610332489,0.9059005379676819,434.5146417617798,1031.5690612792969,-603.0544638633728,0.7480461001396179,528.8519132137299,945.6856727600098,-145.52292823791504,0.8723597526550293,455.8448660373688,1053.5773086547852,-664.0352153778076,0.6863676309585571,529.9606418609619,938.0818748474121,-185.9527713060379,0.8686738610267639,470.10023832321167,1032.257194519043,-675.5066800117493,0.6991443037986755,516.9649529457092,943.9373588562012,-133.2385692000389,0.8066456913948059,463.3523690700531,1021.3008499145508,-603.2096028327942,0.6921607851982117,366.7430520057678,1039.9338912963867,169.42977905273438,0.999699056148529,299.49214339256287,1046.7435836791992,-169.47459876537323,0.9996383190155029,442.9636001586914,1192.796287536621,417.40200877189636,0.9808251857757568,350.91620564460754,1230.4442596435547,-196.61783516407013,0.8882691860198975,381.71788930892944,1333.2873916625977,762.7937865257263,0.9846457839012146,295.6370687484741,1414.4181060791016,-111.31177604198456,0.9394457340240479,359.2099928855896,1351.2628555297852,790.9779667854309,0.9528011679649353,277.2578001022339,1436.5263748168945,-111.72855913639069,0.903065025806427,449.91231322288513,1369.4484329223633,710.1035714149475,0.9860276579856873,364.8771035671234,1467.5484466552734,-306.7167270183563,0.953843891620636,neutral
3,455.843642950058,723.2572174072266,-450.6043553352356,0.9998741745948792,445.6786608695984,708.0755424499512,-425.3624403476715,0.9997602105140686,445.8463203907013,707.6912498474121,-425.40454030036926,0.9997729063034058,445.8667266368866,707.4776458740234,-425.52894115448,0.9997666478157043,438.5729742050171,709.9567794799805,-480.35141587257385,0.9998128414154053,433.49310636520386,710.800895690918,-480.41295647621155,0.9998610615730286,427.8715717792511,711.9259643554688,-480.5168545246124,0.9998865723609924,427.2532367706299,717.842903137207,-272.5416076183319,0.999608039855957,406.097913980484,724.0311813354492,-517.056394815445,0.9997984170913696,456.61521792411804,741.9695663452148,-386.5585792064667,0.9998316764831543,447.62150287628174,742.7353477478027,-457.7653706073761,0.9997699856758118,435.5366921424866,822.7229690551758,-37.31428161263466,0.9998219609260559,352.47313141822815,834.9966430664062,-569.4202065467834,0.9998940825462341,430.8840036392212,931.7821884155273,164.79833364486694,0.9028337001800537,325.1415717601776,983.4518051147461,-590.0569081306458,0.7116515636444092,501.87134742736816,951.9808959960938,98.71980249881744,0.9022037386894226,437.95753598213196,1031.7870712280273,-575.6410217285156,0.7724903225898743,528.2905805110931,944.6086692810059,82.22948759794235,0.8688665628433228,460.99222898483276,1052.098617553711,-632.2620463371277,0.7162227034568787,529.2081212997437,938.0710601806641,45.159666538238525,0.8663851618766785,472.5063729286194,1032.267723083496,-639.8991322517395,0.7275919318199158,516.6960990428925,943.4765625,79.36898410320282,0.8081715106964111,465.4567229747772,1021.5645217895508,-574.6548914909363,0.7198021411895752,367.438827753067,1040.405387878418,168.8069862127304,0.9995543956756592,300.744423866272,1047.2510147094727,-168.8220977783203,0.9996331930160522,445.51515340805054,1192.049789428711,387.5094974040985,0.9701668620109558,354.3273961544037,1230.4456329345703,-190.20927608013153,0.8988844752311707,381.76053643226624,1331.3349151611328,708.160343170166,0.9747701287269592,297.7488577365875,1410.585708618164,-99.24977749586105,0.9447093605995178,358.473984003067,1352.1260833740234,734.362735748291,0.9383621215820312,278.47171425819397,1436.3542556762695,-98.90497148036957,0.9081233143806458,454.088351726532,1369.4596481323242,661.5443658828735,0.9789804816246033,365.9391939640045,1464.2590713500977,-281.02410435676575,0.9571840763092041,neutral
4,455.2349317073822,718.0170822143555,-450.07797718048096,0.9998834133148193,445.6729316711426,702.2723007202148,-424.23346638679504,0.9997767210006714,445.84471106529236,701.8783378601074,-424.2922067642212,0.9997875690460205,445.8647310733795,701.5552139282227,-424.39520359039307,0.999782383441925,438.551344871521,703.1864547729492,-477.92696714401245,0.9998274445533752,433.4924626350403,703.5034561157227,-478.00556659698486,0.9998705983161926,427.91441202163696,704.2614555358887,-478.10161113739014,0.999893844127655,426.88904643058777,710.0495338439941,-265.32320380210876,0.9996317028999329,406.0278117656708,715.6704139709473,-503.6606276035309,0.9998142719268799,455.06717562675476,735.9821891784668,-383.66227626800537,0.9998431205749512,445.97416520118713,737.0956993103027,-452.97173738479614,0.9997912049293518,436.2969374656677,815.2246856689453,-33.79419207572937,0.9998267889022827,344.828964471817,826.406192779541,-553.5046863555908,0.9999028444290161,431.01406931877136,925.9300804138184,127.62327879667282,0.867416262626648,325.55063009262085,973.2190704345703,-572.924222946167,0.7400810122489929,501.7970609664917,948.0228996276855,-7.979906927794218,0.898333728313446,437.9528045654297,1027.2300338745117,-559.2251944541931,0.794233500957489,527.5732398033142,942.1578598022461,-35.6873944401741,0.8664917945861816,461.09641671180725,1045.3841400146484,-615.3265357017517,0.742743968963623,528.8278698921204,935.9543609619141,-74.9599876999855,0.8651783466339111,472.5745117664337,1026.4809036254883,-626.2250804901123,0.7528303265571594,516.5109300613403,940.3038597106934,-30.35179875791073,0.8101956844329834,465.43432116508484,1016.8317031860352,-559.1890811920166,0.7441603541374207,374.8934805393219,1039.639778137207,166.80533945560455,0.9994430541992188,305.8065891265869,1043.5042190551758,-166.82696878910065,0.9996424913406372,445.4823875427246,1191.8276596069336,397.0230567455292,0.9617437720298767,356.7575740814209,1229.783706665039,-189.59900379180908,0.9085343480110168,381.8048894405365,1331.2873077392578,735.4277229309082,0.9677702188491821,299.95224952697754,1407.0500564575195,-100.16806662082672,0.9495756030082703,357.7226221561432,1353.3990097045898,761.7173409461975,0.9281955361366272,280.0480806827545,1435.9073638916016,-100.2641835808754,0.9129387140274048,456.33487343788147,1369.7614288330078,673.3803749084473,0.9741511344909668,365.9409964084625,1462.7446746826172,-286.25003457069397,0.9604408144950867,neutral
5,455.2000415325165,704.1408920288086,-423.05476427078247,0.9998906254768372,445.70309042930603,686.9819068908691,-397.58764028549194,0.9997883439064026,445.8897078037262,686.4922142028809,-397.66788125038147,0.999796986579895,445.9098243713379,686.0749626159668,-397.77087807655334,0.9997923970222473,438.623925447464,687.6644325256348,-445.051474571228,0.9998380541801453,433.63540291786194,687.8511428833008,-445.10738253593445,0.9998765587806702,428.14229249954224,688.5923194885254,-445.2054226398468,0.9998977780342102,426.6284966468811,694.0748405456543,-241.61872565746307,0.9996454119682312,405.8213996887207,700.2223777770996,-451.6270172595978,0.9998263716697693,454.8104238510132,721.8037033081055,-358.1855607032776,0.9998506903648376,445.71969866752625,723.823127746582,-419.2044532299042,0.9998093247413635,436.8527019023895,800.0823783874512,-19.284319058060646,0.9998266100883484,343.1998121738434,810.0981903076172,-500.80758333206177,0.9999099373817444,431.3136613368988,911.737232208252,138.61179292201996,0.8308822512626648,325.2603077888489,955.9248733520508,-532.2028827667236,0.7655722498893738,502.4855947494507,939.3093109130859,-6.023967023938894,0.8965175151824951,437.89754033088684,1012.3623275756836,-550.9381341934204,0.8138136863708496,531.3915252685547,930.329647064209,-40.45887127518654,0.8665969967842102,460.9499680995941,1029.224739074707,-608.2908225059509,0.7666322588920593,533.5007393360138,922.5427436828613,-82.01308965682983,0.8663391470909119,471.4285111427307,1011.4754104614258,-621.0129904747009,0.7755769491195679,519.9217987060547,925.7319831848145,-30.322173088788986,0.8145456910133362,464.58218336105347,1001.5520095825195,-552.6382255554199,0.7663459181785583,380.7695460319519,1033.451156616211,159.08875286579132,0.9992122650146484,312.7473199367523,1034.7761535644531,-159.1267490386963,0.9996204972267151,444.48174118995667,1188.790168762207,391.858731508255,0.9481101036071777,360.5885088443756,1222.122917175293,-175.34841120243073,0.916878879070282,382.14439272880554,1331.1188507080078,707.3432564735413,0.9558326601982117,304.143351316452,1399.709129333496,-88.69908839464188,0.9532784819602966,357.69291400909424,1354.0192794799805,730.6473183631897,0.9121765494346619,283.34304571151733,1430.3181838989258,-89.43118661642075,0.9148700833320618,459.2492651939392,1369.4516372680664,641.8142294883728,0.9657033085823059,368.1061828136444,1461.1764907836914,-275.8608412742615,0.9623923301696777,neutral
6,455.06019115448,681.3470077514648,-409.12370324134827,0.9998981356620789,445.6585443019867,664.2834091186523,-383.4689962863922,0.9998002648353577,445.8351516723633,664.1515159606934,-383.53694200515747,0.9998064041137695,445.84413170814514,663.9955902099609,-383.6176013946533,0.9998021721839905,438.62624287605286,665.7388687133789,-427.0082652568817,0.9998483061790466,433.66169929504395,666.5683364868164,-427.01605439186096,0.9998824596405029,428.1827509403229,667.7690505981445,-427.09214329719543,0.999902069568634,426.4821124076843,675.007209777832,-227.23351299762726,0.9996544122695923,405.3548240661621,680.9726715087891,-419.95436668395996,0.9998382329940796,454.433970451355,701.4998817443848,-344.8817825317383,0.9998592138290405,445.55879831314087,702.4391555786133,-400.774941444397,0.9998262524604797,437.0864725112915,782.2699356079102,-9.874631613492966,0.999826192855835,343.1879675388336,790.6123924255371,-467.9533338546753,0.9999168515205383,431.8638575077057,894.7097969055176,126.56123667955399,0.7892244458198547,325.5524003505707,938.2833480834961,-502.65373706817627,0.7883936166763306,501.6366112232208,920.8515357971191,-94.9450895190239,0.889303982257843,438.15361618995667,1000.8455657958984,-528.3288502693176,0.8311482071876526,529.7223651409149,914.6494674682617,-143.24665009975433,0.8615059852600098,461.33829832077026,1016.0145950317383,-584.9993133544922,0.7876845598220825,531.5439605712891,903.8682746887207,-179.89108622074127,0.862341046333313,471.2171745300293,1001.0585403442383,-597.1766924858093,0.7955411076545715,516.3662838935852,906.1659049987793,-119.725401699543,0.8128741383552551,463.9501368999481,991.8300247192383,-529.9914443492889,0.7855685353279114,387.07021594047546,1021.7923736572266,150.9290224313736,0.9989974498748779,318.80234241485596,1021.2848281860352,-151.04127287864685,0.9995813369750977,440.14599323272705,1179.668312072754,381.01274728775024,0.9376029968261719,360.2432119846344,1212.12158203125,-115.3435143828392,0.9243941903114319,385.46797156333923,1327.2570419311523,670.4946613311768,0.9486328363418579,306.10888481140137,1392.751808166504,-6.03264732286334,0.9561963677406311,359.6872544288635,1352.585563659668,690.7448029518127,0.9013217687606812,285.8222436904907,1421.7202377319336,-4.207887053489685,0.9141249060630798,462.23256826400757,1367.87841796875,592.0210576057434,0.9602473378181458,368.52309465408325,1460.6877136230469,-185.5740487575531,0.9634745717048645,neutral
7,454.2494773864746,666.8679428100586,-414.7867262363434,0.9999019503593445,445.2043282985687,649.973087310791,-389.1697418689728,0.9998016357421875,445.35972476005554,649.9958038330078,-389.23118591308594,0.9998031258583069,445.3449511528015,649.9282836914062,-389.29285526275635,0.9997987151145935,438.3072102069855,650.8239555358887,-430.59950709342957,0.9998526573181152,433.38759899139404,651.3598251342773,-430.61585783958435,0.9998829960823059,427.96671509742737,652.0359992980957,-430.7066237926483,0.999902069568634,425.9357786178589,659.912109375,-226.89471781253815,0.9996204972267151,404.5590126514435,664.7415733337402,-408.71049284935,0.9998445510864258,453.65782499313354,685.8246231079102,-348.0451691150665,0.9998590350151062,444.92385506629944,686.0614013671875,-400.9324300289154,0.9998390674591064,436.948778629303,764.6288108825684,2.4073931481689215,0.999805212020874,343.64540219306946,770.9609985351562,-458.7913155555725,0.9999235272407532,429.60832357406616,877.9287528991699,119.21112567186356,0.7321725487709045,328.199257850647,917.9070854187012,-493.2269525527954,0.8089041709899902,496.0718536376953,905.8505630493164,-94.4732192158699,0.8576286435127258,438.375381231308,984.0785980224609,-524.969801902771,0.8465263247489929,517.7905368804932,910.2682685852051,-141.09189212322235,0.8358665108680725,461.2801694869995,1001.5652847290039,-583.2289910316467,0.8063806891441345,518.9141356945038,899.0178680419922,-184.2473691701889,0.8383904695510864,471.3578939437866,986.3391494750977,-598.5012316703796,0.8132641911506653,505.5419933795929,900.8267211914062,-121.92656457424164,0.7911809682846069,464.01692390441895,978.3594131469727,-527.8192090988159,0.8024617433547974,391.57217502593994,1005.3430938720703,151.65117502212524,0.9987416863441467,323.99566769599915,1006.7332077026367,-151.78658366203308,0.9995481967926025,434.52011346817017,1167.3973846435547,376.5896773338318,0.9248343110084534,356.8418061733246,1199.3400192260742,-122.45643496513367,0.9311741590499878,387.7688241004944,1321.6280364990234,659.6480655670166,0.9415620565414429,306.88422560691833,1387.280616760254,-31.290174275636673,0.9588919878005981,361.7863619327545,1346.6619873046875,678.6597990989685,0.8913236260414124,285.57321667671204,1415.5982208251953,-31.810730695724487,0.9130536913871765,462.5950527191162,1366.322250366211,575.1946592330933,0.9552527666091919,368.4762954711914,1460.8101654052734,-219.1790807247162,0.9645875096321106,neutral
8,452.5631296634674,657.6076698303223,-320.6582486629486,0.9998984336853027,444.36596632003784,642.3679161071777,-296.6680347919464,0.9997861385345459,444.56948161125183,642.0064544677734,-296.7584466934204,0.99978107213974,444.60301995277405,641.6017913818359,-296.80389404296875,0.9997751116752625,437.5807285308838,642.7237701416016,-336.4433491230011,0.9998453259468079,432.6705479621887,642.7724075317383,-336.4626610279083,0.9998719692230225,427.1669125556946,643.0602836608887,-336.57508850097656,0.9998921751976013,425.71179270744324,648.8310813903809,-140.75047373771667,0.9995321035385132,403.12204599380493,653.3437156677246,-316.1833906173706,0.999841034412384,450.8276653289795,675.8844566345215,-256.46753668785095,0.9998512268066406,442.1337354183197,676.5231513977051,-307.19199299812317,0.9998474717140198,437.8427588939667,751.5351104736328,75.21431744098663,0.9997832179069519,344.0506947040558,751.3362693786621,-378.6362886428833,0.9999297857284546,431.3930654525757,865.4425621032715,128.16732734441757,0.6792083978652954,328.52569341659546,899.4216728210449,-418.62738132476807,0.82719886302948,494.3425691127777,903.2097816467285,-141.40820503234863,0.8170601725578308,436.03915572166443,964.5003890991211,-460.47808170318604,0.8599122762680054,509.00136709213257,912.2993659973145,-196.14833056926727,0.8026707768440247,458.11224460601807,984.847526550293,-518.6849999427795,0.822692334651947,509.71487760543823,901.944694519043,-239.7120612859726,0.8066648244857788,470.7837510108948,968.9627838134766,-533.9712417125702,0.82867830991745,500.42749285697937,902.4341583251953,-171.0106998682022,0.7618799805641174,463.8089990615845,959.3932914733887,-463.18525671958923,0.8167630434036255,394.0025782585144,992.336540222168,150.78270256519318,0.9984585642814636,324.54538106918335,994.7480392456055,-150.87675154209137,0.9995236396789551,429.79835271835327,1156.5681838989258,333.9817249774933,0.9129096269607544,353.46853137016296,1187.5690841674805,-181.11650705337524,0.937312662601471,392.6172065734863,1312.1756744384766,606.3710260391235,0.9339549541473389,310.65349102020264,1381.6710662841797,-146.56976222991943,0.961467444896698,367.3978865146637,1335.6328582763672,623.7095761299133,0.8810091018676758,288.53920340538025,1409.952049255371,-153.44225764274597,0.9121596813201904,462.6183235645294,1363.2845306396484,515.2898061275482,0.9492539167404175,369.45151448249817,1460.7544326782227,-353.9085531234741,0.9657852649688721,neutral
9,451.8902063369751,648.0231285095215,-357.6779794692993,0.9999051690101624,444.37063336372375,630.7254409790039,-346.48730993270874,0.9998002648353577,444.73228096961975,630.3449249267578,-346.55609250068665,0.9997939467430115,445.18646478652954,630.0460052490234,-346.70408606529236,0.9997865557670593,436.534184217453,631.3921737670898,-404.59113478660583,0.9998553991317749,431.0105288028717,632.0857429504395,-404.634393453598,0.9998790621757507,424.54564332962036,633.2747840881348,-404.7350084781647,0.9998976588249207,428.2581639289856,638.2119941711426,-190.40997505187988,0.9995492100715637,399.6071183681488,646.1081314086914,-344.2247271537781,0.9998527765274048,450.82682847976685,667.2096633911133,-315.3951108455658,0.9998601078987122,440.49479842185974,668.6050987243652,-374.991295337677,0.9998607039451599,442.80208826065063,743.994083404541,52.91978940367699,0.999783992767334,344.30866956710815,745.6870079040527,-378.6674773693085,0.9999356865882874,437.34219431877136,857.7951622009277,43.49164500832558,0.6445171236991882,336.5589952468872,890.0519943237305,-404.8767578601837,0.8435062170028687,501.18303894996643,870.2447319030762,-353.03024768829346,0.8052747249603271,437.3770523071289,951.2010955810547,-448.7540817260742,0.8718412518501282,517.1305525302887,870.7963943481445,-427.0884418487549,0.7942503094673157,460.36404490470886,967.0450973510742,-504.2714309692383,0.8369405269622803,521.3738286495209,859.3133354187012,-459.3981921672821,0.7986268997192383,472.9648697376251,953.2809448242188,-524.9708962440491,0.8421480059623718,507.7986216545105,862.2975540161133,-381.23270988464355,0.7551255822181702,466.1376929283142,941.6298866271973,-452.9550004005432,0.8293978571891785,393.61035346984863,980.1959609985352,148.84468853473663,0.9983953237533569,323.6284840106964,981.870002746582,-148.97919595241547,0.999533474445343,430.2690804004669,1143.9848327636719,314.85576152801514,0.9101333618164062,350.3390049934387,1180.0472259521484,-214.46190655231476,0.9431658387184143,400.2213656902313,1301.4068984985352,636.5340328216553,0.9301068782806396,313.0463647842407,1375.5625534057617,-186.67957484722137,0.9643387198448181,378.53506207466125,1319.3107223510742,658.3292555809021,0.8707054257392883,291.2624716758728,1402.8943634033203,-194.09687519073486,0.9122545719146729,462.2883474826813,1362.638168334961,547.223424911499,0.944453775882721,369.74634289741516,1459.8185348510742,-412.27057814598083,0.967628002166748,neutral
10,452.5436246395111,643.9703750610352,-479.3335175514221,0.9999138116836548,445.5687439441681,627.0237350463867,-445.02540349960327,0.9998186826705933,446.28196477890015,626.5516090393066,-445.0501549243927,0.9998124837875366,446.98198914527893,626.0313606262207,-445.0722026824951,0.9998052716255188,437.0405101776123,628.703498840332,-485.378497838974,0.9998688101768494,431.1251771450043,629.7088623046875,-485.43012499809265,0.9998900890350342,424.6250796318054,630.8632278442383,-485.479531288147,0.9999068975448608,429.724098443985,635.7231330871582,-227.41127908229828,0.9995880126953125,399.5906710624695,643.8367080688477,-394.5929431915283,0.999866783618927,452.1428060531616,664.3997955322266,-399.6296811103821,0.9998725056648254,440.55347442626953,665.4190063476562,-448.56550097465515,0.9998740553855896,442.5544774532318,739.760913848877,27.989395558834076,0.9997884631156921,346.84770226478577,747.8781509399414,-438.46102952957153,0.9999412298202515,443.54727029800415,853.7188911437988,26.133461147546768,0.6181831359863281,337.89618372917175,895.967960357666,-462.09622621536255,0.8585783839225769,506.28170371055603,859.6978569030762,-328.17872285842896,0.7996105551719666,441.94000482559204,946.4372062683105,-464.64510798454285,0.8833200931549072,525.9688711166382,854.6146202087402,-393.2340931892395,0.7897952198982239,468.857581615448,956.689281463623,-517.6215898990631,0.8508760929107666,531.7751562595367,847.2308349609375,-421.04130506515503,0.7942644357681274,478.3107590675354,940.2434349060059,-534.9738192558289,0.8554190993309021,514.9898600578308,849.180793762207,-353.3431327342987,0.7525096535682678,470.08288979530334,932.4763870239258,-466.6814196109772,0.8424670696258545,392.73391485214233,981.3655471801758,149.90450978279114,0.9984293580055237,323.29564332962036,983.9079666137695,-150.00866532325745,0.9995541572570801,430.74466824531555,1138.2537460327148,356.32009506225586,0.9082301259040833,348.67303133010864,1178.4178161621094,-154.06506657600403,0.9484950304031372,406.2019407749176,1295.2472305297852,731.6557216644287,0.928466260433197,313.7684369087219,1373.239631652832,-69.70032602548599,0.967073917388916,383.418527841568,1314.7797775268555,758.859372138977,0.8676779866218567,294.1187024116516,1398.7779235839844,-70.99830329418182,0.9142796993255615,464.130574464798,1359.5476913452148,652.1789288520813,0.9430695176124573,369.8123574256897,1456.9937896728516,-286.1844062805176,0.9694738984107971,neutral
11,453.6053931713104,648.4786033630371,-535.8080291748047,0.9999216794967651,446.0334527492523,631.57470703125,-502.09256529808044,0.9998353719711304,446.6411018371582,631.1420631408691,-502.1187651157379,0.9998294711112976,447.1722435951233,630.6544876098633,-502.15426683425903,0.9998225569725037,437.28644728660583,633.2685470581055,-542.1383428573608,0.9998809099197388,431.18465781211853,634.3963623046875,-542.1982741355896,0.9999001026153564,424.67596650123596,635.7631301879883,-542.2271776199341,0.9999152421951294,429.6218419075012,640.8644485473633,-297.343887090683,0.9996232986450195,399.6965968608856,648.9208030700684,-470.93708753585815,0.9998793005943298,453.0478262901306,669.1644859313965,-456.7484700679779,0.9998838901519775,440.9017324447632,668.9897346496582,-508.04632902145386,0.999886155128479,442.80218482017517,744.6128082275391,-41.123788207769394,0.9997979998588562,351.658136844635,755.4541397094727,-503.6902391910553,0.999946117401123,451.96709990501404,852.8017044067383,-68.6810839176178,0.6201820969581604,338.706511259079,900.9573554992676,-530.8241093158722,0.8723451495170593,512.6104080677032,859.6711921691895,-427.464154958725,0.810610294342041,447.16641783714294,949.3888664245605,-505.213497877121,0.8940915465354919,532.950382232666,848.7322998046875,-498.3499503135681,0.8005343675613403,472.85701274871826,961.1441802978516,-559.6705269813538,0.864077627658844,533.4052097797394,841.8132591247559,-521.7951500415802,0.8046129941940308,481.8390762805939,945.8692359924316,-573.2530403137207,0.8680156469345093,518.7891232967377,845.8426666259766,-450.92255115509033,0.7651854157447815,473.85061025619507,936.5300559997559,-505.6670379638672,0.8551088571548462,391.8903708457947,983.4228515625,149.11548972129822,0.9985175728797913,322.2508692741394,987.3217391967773,-149.27616477012634,0.9995864033699036,439.01418685913086,1135.0944900512695,429.2422020435333,0.9094452857971191,347.373822927475,1181.0473251342773,-150.16834259033203,0.9534157514572144,410.44528126716614,1292.3042678833008,777.8904819488525,0.930372953414917,316.3368558883667,1368.9608001708984,-81.21397912502289,0.9698852300643921,385.8189010620117,1312.8239822387695,804.5438718795776,0.8678880929946899,298.4999942779541,1393.125114440918,-87.51135796308517,0.917670726776123,471.1168169975281,1350.6171798706055,706.4490509033203,0.944326639175415,368.9885115623474,1456.0523986816406,-305.52640557289124,0.9716597199440002,neutral
